domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance2_domain;car-assistance2_problem_0;0.1639580727;0.5081992149;0.2682213783;0.2419178486;0.245102644
;car-assistance2_problem_10;0.1062150002;0.3186955452;0.5283648968;0.5287945271;0.5526790619
;car-assistance2_problem_11;0.0957069397;0.1758015156;0.2598903179;0.2592961788;0.2635667324
;car-assistance2_problem_12;0.1390886307;0.8954212666;0.7437188625;1.1920542717;0.8688232899
;car-assistance2_problem_13;0.3580300808;1.3584444523;0.7164092064;0.824542284;0.7692935467
;car-assistance2_problem_14;0.3948636055;1.0333387852;0.680734396;0.3707778454;0.3242275715
;car-assistance2_problem_15;0.1023776531;0.2070612907;0.3026890755;0.2936177254;0.294387579
;car-assistance2_problem_16;0.1194410324;0.2823863029;0.3417365551;0.3458447456;0.3516848087
;car-assistance2_problem_17;0.0901348591;0.1736776829;0.1841173172;0.1872944832;0.1849792004
;car-assistance2_problem_18;0.1036133766;0.1973159313;0.4031846523;0.3830525875;0.3943045139
;car-assistance2_problem_19;0.136547327;0.5811035633;0.4546303749;0.5978798866;0.3982009888
;car-assistance2_problem_1;0.1049726009;0.2603359222;0.3295576572;0.3320186138;0.3279807568
;car-assistance2_problem_2;0.1034626961;0.2528882027;0.4406507015;0.4744522572;0.4206142426
;car-assistance2_problem_3;0.0883114338;0.1446998119;0.1690323353;0.1807391644;0.1736454964
;car-assistance2_problem_4;0.1275320053;0.347622633;0.6223738194;1.0728025436;0.6280667782
;car-assistance2_problem_5;0.1278326511;0.3495104313;0.2450089455;0.2456839085;0.2342104912
;car-assistance2_problem_6;0.1449341774;0.5586099625;0.2859168053;0.2822563648;0.2856895924
;car-assistance2_problem_7;0.0985143185;0.182320118;0.2863652706;0.2922537327;0.2851858139
;car-assistance2_problem_8;0.1391270161;0.5378894806;0.7849445343;0.6385815144;0.5578477383
;car-assistance2_problem_9;0.1615378857;0.8031141758;0.6393098831;0.6403393745;0.6292622089
