domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance2_domain;car-assistance2_problem_0;0.1639580727;0.5081992149;1.8590974808;1.6383178234;0.7038342953
;car-assistance2_problem_10;0.1062150002;0.3186955452;0.9052968025;1.0593221188;0.4514274597
;car-assistance2_problem_11;0.0957069397;0.1758015156;0.5803163052;0.2678873539;0.2726478577
;car-assistance2_problem_12;0.1390886307;0.8954212666;3.8509011269;9.3264405727;3.483853817
;car-assistance2_problem_13;0.3580300808;1.3584444523;4.2620637417;3.1687288284;1.8764307499
;car-assistance2_problem_14;0.3948636055;1.0333387852;2.546040535;2.8652842045;0.7475512028
;car-assistance2_problem_15;0.1023776531;0.2070612907;0.7187817097;0.7401633263;0.3409178257
;car-assistance2_problem_16;0.1194410324;0.2823863029;0.8102822304;0.6737205982;0.4173605442
;car-assistance2_problem_17;0.0901348591;0.1736776829;0.6129488945;0.4409153461;0.274245739
;car-assistance2_problem_18;0.1036133766;0.1973159313;0.6209242344;0.7281520367;0.2980759144
;car-assistance2_problem_19;0.136547327;0.5811035633;1.7412922382;2.8746097088;0.7726099491
;car-assistance2_problem_1;0.1049726009;0.2603359222;0.7807607651;0.9452819824;0.4094541073
;car-assistance2_problem_2;0.1034626961;0.2528882027;0.7779974937;1.4488759041;0.3838341236
;car-assistance2_problem_3;0.0883114338;0.1446998119;0.5266895294;0.5459566116;0.2577054501
;car-assistance2_problem_4;0.1275320053;0.347622633;0.9974820614;2.2632982731;0.5647764206
;car-assistance2_problem_5;0.1278326511;0.3495104313;1.0964870453;1.1748087406;0.8955602646
;car-assistance2_problem_6;0.1449341774;0.5586099625;1.3908805847;1.8408377171;0.7459979057
;car-assistance2_problem_7;0.0985143185;0.182320118;0.6001622677;0.4805338383;0.293792963
;car-assistance2_problem_8;0.1391270161;0.5378894806;1.6530425549;2.302677393;0.744259119
;car-assistance2_problem_9;0.1615378857;0.8031141758;2.2337105274;2.7618775368;1.1558845043
