domain;problem;LTRA;BOTAV2;BOTAV2-psi
car-assistance2_domain;car-assistance2_problem_0;2;2;2
;car-assistance2_problem_10;5;5;5
;car-assistance2_problem_11;3;3;3
;car-assistance2_problem_12;2;3;2
;car-assistance2_problem_13;2;2;2
;car-assistance2_problem_14;2;2;2
;car-assistance2_problem_15;3;3;3
;car-assistance2_problem_16;3;3;3
;car-assistance2_problem_17;2;2;2
;car-assistance2_problem_18;4;4;4
;car-assistance2_problem_19;3;4;3
;car-assistance2_problem_1;3;3;3
;car-assistance2_problem_2;4;4;4
;car-assistance2_problem_3;2;2;2
;car-assistance2_problem_4;5;6;5
;car-assistance2_problem_5;2;2;2
;car-assistance2_problem_6;2;2;2
;car-assistance2_problem_7;3;3;3
;car-assistance2_problem_8;4;5;4
;car-assistance2_problem_9;4;4;4
