domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance2_domain;car-assistance2_problem_0;11000;8004;10003;10003;10003
;car-assistance2_problem_10;14000;9010;11006;11006;11006
;car-assistance2_problem_11;12000;9003;9003;9003;9003
;car-assistance2_problem_12;10000;6007;9005;9006;9005
;car-assistance2_problem_13;11000;8004;9003;9003;9003
;car-assistance2_problem_14;14000;8010;12007;12007;12007
;car-assistance2_problem_15;14000;10008;12006;12006;12006
;car-assistance2_problem_16;11000;6003;7003;7003;7003
;car-assistance2_problem_17;11000;8005;9003;9003;9003
;car-assistance2_problem_18;15000;10009;12007;12007;12007
;car-assistance2_problem_19;15000;9009;12005;12006;12005
;car-assistance2_problem_1;11000;7006;9005;9005;9005
;car-assistance2_problem_2;17000;9010;13007;13007;13007
;car-assistance2_problem_3;10000;6005;8004;8004;8004
;car-assistance2_problem_4;16000;8007;11005;11006;11005
;car-assistance2_problem_5;11000;8004;10002;10002;10002
;car-assistance2_problem_6;11000;7006;9005;9005;9005
;car-assistance2_problem_7;11000;8006;9004;9004;9004
;car-assistance2_problem_8;15000;9008;12006;12007;12006
;car-assistance2_problem_9;15000;8006;10005;10005;10005
