domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance2_domain;car-assistance2_problem_0;11000;8000;10000;10000;10000
;car-assistance2_problem_10;14000;9000;11000;11000;11000
;car-assistance2_problem_11;12000;9000;9000;9000;9000
;car-assistance2_problem_12;10000;6000;9000;9000;9000
;car-assistance2_problem_13;11000;8000;9000;9000;9000
;car-assistance2_problem_14;14000;8000;12000;12000;12000
;car-assistance2_problem_15;14000;10000;12000;12000;12000
;car-assistance2_problem_16;11000;6000;7000;7000;7000
;car-assistance2_problem_17;11000;8000;9000;9000;9000
;car-assistance2_problem_18;15000;10000;12000;12000;12000
;car-assistance2_problem_19;15000;9000;12000;12000;12000
;car-assistance2_problem_1;11000;7000;9000;9000;9000
;car-assistance2_problem_2;17000;9000;13000;13000;13000
;car-assistance2_problem_3;10000;6000;8000;8000;8000
;car-assistance2_problem_4;16000;8000;11000;11000;11000
;car-assistance2_problem_5;11000;8000;10000;10000;10000
;car-assistance2_problem_6;11000;7000;9000;9000;9000
;car-assistance2_problem_7;11000;8000;9000;9000;9000
;car-assistance2_problem_8;15000;9000;12000;12000;12000
;car-assistance2_problem_9;15000;8000;10000;10000;10000
