domain;problem;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance6_domain;teleport-assistance6_problem_0;2;2;2
;teleport-assistance6_problem_100;2;1;1
;teleport-assistance6_problem_101;1;1;1
;teleport-assistance6_problem_102;2;2;2
;teleport-assistance6_problem_103;2;1;2
;teleport-assistance6_problem_104;2;2;2
;teleport-assistance6_problem_105;1;1;1
;teleport-assistance6_problem_106;2;1;2
;teleport-assistance6_problem_107;2;1;1
;teleport-assistance6_problem_108;1;1;1
;teleport-assistance6_problem_109;2;2;2
;teleport-assistance6_problem_10;2;2;2
;teleport-assistance6_problem_110;2;1;1
;teleport-assistance6_problem_111;2;2;2
;teleport-assistance6_problem_112;2;2;2
;teleport-assistance6_problem_113;2;2;2
;teleport-assistance6_problem_114;2;2;2
;teleport-assistance6_problem_115;2;1;2
;teleport-assistance6_problem_116;2;1;1
;teleport-assistance6_problem_117;2;2;2
;teleport-assistance6_problem_118;2;1;1
;teleport-assistance6_problem_119;2;2;2
;teleport-assistance6_problem_11;2;1;1
;teleport-assistance6_problem_120;2;1;2
;teleport-assistance6_problem_121;2;1;2
;teleport-assistance6_problem_122;2;1;2
;teleport-assistance6_problem_123;2;2;2
;teleport-assistance6_problem_124;2;1;2
;teleport-assistance6_problem_125;2;2;2
;teleport-assistance6_problem_126;2;1;2
;teleport-assistance6_problem_127;2;1;1
;teleport-assistance6_problem_128;2;2;2
;teleport-assistance6_problem_129;2;2;2
;teleport-assistance6_problem_12;2;1;2
;teleport-assistance6_problem_130;2;2;2
;teleport-assistance6_problem_131;2;1;2
;teleport-assistance6_problem_132;2;1;1
;teleport-assistance6_problem_133;2;2;2
;teleport-assistance6_problem_134;2;2;2
;teleport-assistance6_problem_135;2;1;1
;teleport-assistance6_problem_136;1;1;1
;teleport-assistance6_problem_137;1;1;1
;teleport-assistance6_problem_138;2;1;1
;teleport-assistance6_problem_139;2;2;2
;teleport-assistance6_problem_13;2;1;2
;teleport-assistance6_problem_140;2;1;2
;teleport-assistance6_problem_141;1;1;1
;teleport-assistance6_problem_142;2;1;1
;teleport-assistance6_problem_143;2;1;2
;teleport-assistance6_problem_144;2;1;2
;teleport-assistance6_problem_145;2;2;2
;teleport-assistance6_problem_146;2;1;1
;teleport-assistance6_problem_147;2;1;1
;teleport-assistance6_problem_148;2;1;2
;teleport-assistance6_problem_149;2;1;2
;teleport-assistance6_problem_14;2;2;2
;teleport-assistance6_problem_150;2;2;2
;teleport-assistance6_problem_151;2;1;1
;teleport-assistance6_problem_152;2;1;1
;teleport-assistance6_problem_153;2;1;2
;teleport-assistance6_problem_154;2;1;2
;teleport-assistance6_problem_155;2;1;2
;teleport-assistance6_problem_156;2;2;2
;teleport-assistance6_problem_157;2;1;1
;teleport-assistance6_problem_158;2;2;2
;teleport-assistance6_problem_159;2;2;2
;teleport-assistance6_problem_15;2;1;2
;teleport-assistance6_problem_160;2;2;2
;teleport-assistance6_problem_161;2;1;2
;teleport-assistance6_problem_162;2;1;1
;teleport-assistance6_problem_163;2;2;2
;teleport-assistance6_problem_164;2;1;1
;teleport-assistance6_problem_165;2;1;2
;teleport-assistance6_problem_166;2;1;1
;teleport-assistance6_problem_167;2;2;2
;teleport-assistance6_problem_168;2;1;1
;teleport-assistance6_problem_169;2;1;2
;teleport-assistance6_problem_16;2;1;2
;teleport-assistance6_problem_170;1;1;1
;teleport-assistance6_problem_171;2;1;2
;teleport-assistance6_problem_172;1;1;1
;teleport-assistance6_problem_173;2;1;2
;teleport-assistance6_problem_174;2;2;2
;teleport-assistance6_problem_175;2;2;2
;teleport-assistance6_problem_176;2;2;2
;teleport-assistance6_problem_177;2;1;1
;teleport-assistance6_problem_178;1;1;1
;teleport-assistance6_problem_179;2;2;2
;teleport-assistance6_problem_17;2;2;2
;teleport-assistance6_problem_180;2;1;1
;teleport-assistance6_problem_181;2;1;1
;teleport-assistance6_problem_182;1;1;1
;teleport-assistance6_problem_183;2;1;2
;teleport-assistance6_problem_184;2;1;2
;teleport-assistance6_problem_185;2;1;1
;teleport-assistance6_problem_186;2;1;1
;teleport-assistance6_problem_187;2;1;1
;teleport-assistance6_problem_188;1;1;1
;teleport-assistance6_problem_189;2;1;2
;teleport-assistance6_problem_18;2;2;2
;teleport-assistance6_problem_190;2;1;1
;teleport-assistance6_problem_191;2;2;2
;teleport-assistance6_problem_192;2;1;1
;teleport-assistance6_problem_193;1;1;1
;teleport-assistance6_problem_194;2;2;2
;teleport-assistance6_problem_195;2;2;2
;teleport-assistance6_problem_196;2;1;1
;teleport-assistance6_problem_197;2;2;2
;teleport-assistance6_problem_198;2;2;2
;teleport-assistance6_problem_199;2;1;1
;teleport-assistance6_problem_19;2;1;1
;teleport-assistance6_problem_1;2;1;1
;teleport-assistance6_problem_20;1;1;1
;teleport-assistance6_problem_21;2;2;2
;teleport-assistance6_problem_22;2;2;2
;teleport-assistance6_problem_23;1;1;1
;teleport-assistance6_problem_24;2;2;2
;teleport-assistance6_problem_25;2;1;2
;teleport-assistance6_problem_26;2;2;2
;teleport-assistance6_problem_27;2;1;1
;teleport-assistance6_problem_28;2;2;2
;teleport-assistance6_problem_29;2;1;1
;teleport-assistance6_problem_2;2;2;2
;teleport-assistance6_problem_30;2;1;2
;teleport-assistance6_problem_31;2;2;2
;teleport-assistance6_problem_32;2;1;1
;teleport-assistance6_problem_33;2;1;2
;teleport-assistance6_problem_34;1;1;1
;teleport-assistance6_problem_35;2;1;1
;teleport-assistance6_problem_36;2;2;2
;teleport-assistance6_problem_37;2;1;1
;teleport-assistance6_problem_38;2;2;2
;teleport-assistance6_problem_39;2;1;2
;teleport-assistance6_problem_3;2;2;2
;teleport-assistance6_problem_40;2;2;2
;teleport-assistance6_problem_41;2;2;2
;teleport-assistance6_problem_42;2;2;2
;teleport-assistance6_problem_43;2;1;2
;teleport-assistance6_problem_44;2;2;2
;teleport-assistance6_problem_45;2;2;2
;teleport-assistance6_problem_46;2;2;2
