domain;problem;LTRA;BOTAV2;BOTAV2-psi
;teleport-assistance6_problem_47;2;2;2
;teleport-assistance6_problem_48;2;2;2
;teleport-assistance6_problem_49;2;1;1
;teleport-assistance6_problem_4;2;1;1
;teleport-assistance6_problem_50;2;1;1
;teleport-assistance6_problem_51;2;1;1
;teleport-assistance6_problem_52;2;2;2
;teleport-assistance6_problem_53;2;2;2
;teleport-assistance6_problem_54;2;2;2
;teleport-assistance6_problem_55;2;1;2
;teleport-assistance6_problem_56;1;1;1
;teleport-assistance6_problem_57;1;1;1
;teleport-assistance6_problem_58;1;1;1
;teleport-assistance6_problem_59;2;1;1
;teleport-assistance6_problem_5;2;2;2
;teleport-assistance6_problem_60;2;1;1
;teleport-assistance6_problem_61;2;1;2
;teleport-assistance6_problem_62;1;1;1
;teleport-assistance6_problem_63;2;2;2
;teleport-assistance6_problem_64;1;1;1
;teleport-assistance6_problem_65;2;2;2
;teleport-assistance6_problem_66;2;2;2
;teleport-assistance6_problem_67;2;2;2
;teleport-assistance6_problem_68;2;2;2
;teleport-assistance6_problem_69;2;1;1
;teleport-assistance6_problem_6;2;1;1
;teleport-assistance6_problem_70;1;1;1
;teleport-assistance6_problem_71;1;1;1
;teleport-assistance6_problem_72;2;1;2
;teleport-assistance6_problem_73;1;1;1
;teleport-assistance6_problem_74;2;2;2
;teleport-assistance6_problem_75;2;1;1
;teleport-assistance6_problem_76;2;1;2
;teleport-assistance6_problem_77;2;2;2
;teleport-assistance6_problem_78;2;1;1
;teleport-assistance6_problem_79;2;1;1
;teleport-assistance6_problem_7;2;2;2
;teleport-assistance6_problem_80;2;2;2
;teleport-assistance6_problem_81;2;2;2
;teleport-assistance6_problem_82;2;1;2
;teleport-assistance6_problem_83;2;1;1
;teleport-assistance6_problem_84;2;2;2
;teleport-assistance6_problem_85;1;1;1
;teleport-assistance6_problem_86;2;2;2
;teleport-assistance6_problem_87;2;1;2
;teleport-assistance6_problem_88;2;1;1
;teleport-assistance6_problem_89;2;1;1
;teleport-assistance6_problem_8;2;1;2
;teleport-assistance6_problem_90;2;2;2
;teleport-assistance6_problem_91;2;2;2
;teleport-assistance6_problem_92;2;1;2
;teleport-assistance6_problem_93;2;1;1
;teleport-assistance6_problem_94;2;1;1
;teleport-assistance6_problem_95;2;1;1
;teleport-assistance6_problem_96;2;1;2
;teleport-assistance6_problem_97;2;2;2
;teleport-assistance6_problem_98;2;1;1
;teleport-assistance6_problem_99;2;2;2
;teleport-assistance6_problem_9;2;2;2
