domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance6_domain;teleport-assistance6_problem_0;6000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_100;8000.0;3003.0;7003.0;8002.0;8002.0
;teleport-assistance6_problem_101;7000.0;1003.0;4003.0;7002.0;7002.0
;teleport-assistance6_problem_102;6000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_103;7000.0;3003.0;4003.0;7002.0;4003.0
;teleport-assistance6_problem_104;5000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_105;9000.0;2003.0;2003.0;2003.0;2003.0
;teleport-assistance6_problem_106;11000.0;10003.0;10003.0;11001.0;10003.0
;teleport-assistance6_problem_107;11000.0;5003.0;9003.0;11002.0;11002.0
;teleport-assistance6_problem_108;5000.0;1003.0;3003.0;5002.0;5002.0
;teleport-assistance6_problem_109;17000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_10;12000.0;5003.0;5003.0;5003.0;5003.0
;teleport-assistance6_problem_110;8000.0;5003.0;7003.0;8002.0;8002.0
;teleport-assistance6_problem_111;11000.0;6003.0;6003.0;6003.0;6003.0
;teleport-assistance6_problem_112;4000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_113;9000.0;6003.0;6003.0;6003.0;6003.0
;teleport-assistance6_problem_114;9000.0;7003.0;7003.0;7003.0;7003.0
;teleport-assistance6_problem_115;6000.0;5003.0;5003.0;6002.0;5003.0
;teleport-assistance6_problem_116;9000.0;4003.0;8003.0;9002.0;9002.0
;teleport-assistance6_problem_117;6000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_118;18000.0;2003.0;7003.0;18002.0;18002.0
;teleport-assistance6_problem_119;12000.0;3003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_11;7000.0;2003.0;6003.0;7002.0;7002.0
;teleport-assistance6_problem_120;8000.0;2003.0;3003.0;8002.0;3003.0
;teleport-assistance6_problem_121;8000.0;3003.0;4003.0;8002.0;4003.0
;teleport-assistance6_problem_122;12000.0;7003.0;7003.0;12002.0;7003.0
;teleport-assistance6_problem_123;7000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_124;8000.0;5003.0;5003.0;8002.0;5003.0
;teleport-assistance6_problem_125;4000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_126;6000.0;3003.0;4003.0;6002.0;4003.0
;teleport-assistance6_problem_127;6000.0;4003.0;5003.0;6001.0;6001.0
;teleport-assistance6_problem_128;4000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_129;6000.0;5003.0;5003.0;5003.0;5003.0
;teleport-assistance6_problem_12;6000.0;3003.0;4003.0;6002.0;4003.0
;teleport-assistance6_problem_130;6000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_131;10000.0;5003.0;5003.0;10002.0;5003.0
;teleport-assistance6_problem_132;9000.0;2003.0;7003.0;9001.0;9002.0
;teleport-assistance6_problem_133;9000.0;8003.0;8003.0;8003.0;8003.0
;teleport-assistance6_problem_134;8000.0;7003.0;7003.0;7003.0;7003.0
;teleport-assistance6_problem_135;9000.0;1003.0;5003.0;9002.0;9002.0
;teleport-assistance6_problem_136;9000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_137;13000.0;1003.0;4003.0;13002.0;13002.0
;teleport-assistance6_problem_138;7000.0;3003.0;6003.0;7001.0;7002.0
;teleport-assistance6_problem_139;6000.0;5003.0;5003.0;5003.0;5003.0
;teleport-assistance6_problem_13;9000.0;8003.0;8003.0;9002.0;8003.0
;teleport-assistance6_problem_140;12000.0;2003.0;4003.0;12002.0;4003.0
;teleport-assistance6_problem_141;5000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_142;10000.0;2003.0;6003.0;10002.0;10002.0
;teleport-assistance6_problem_143;8000.0;2003.0;4003.0;8002.0;4003.0
;teleport-assistance6_problem_144;7000.0;4003.0;4003.0;7002.0;4003.0
;teleport-assistance6_problem_145;8000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_146;9000.0;4003.0;4003.0;9002.0;9002.0
;teleport-assistance6_problem_147;14000.0;8003.0;10003.0;14002.0;14002.0
;teleport-assistance6_problem_148;9000.0;7003.0;8003.0;9001.0;8003.0
;teleport-assistance6_problem_149;5000.0;2003.0;4003.0;5001.0;4003.0
;teleport-assistance6_problem_14;8000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_150;5000.0;3003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_151;7000.0;3003.0;6003.0;7002.0;7002.0
;teleport-assistance6_problem_152;11000.0;5003.0;7003.0;11002.0;11002.0
;teleport-assistance6_problem_153;8000.0;3003.0;5003.0;8002.0;5003.0
;teleport-assistance6_problem_154;4000.0;3003.0;3003.0;4002.0;3003.0
;teleport-assistance6_problem_155;8000.0;5003.0;5003.0;8002.0;5003.0
;teleport-assistance6_problem_156;8000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_157;9000.0;2003.0;4003.0;9002.0;9002.0
;teleport-assistance6_problem_158;15000.0;10003.0;10003.0;10003.0;10003.0
;teleport-assistance6_problem_159;7000.0;1003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_15;9000.0;4003.0;4003.0;9002.0;4003.0
;teleport-assistance6_problem_160;5000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_161;5000.0;3003.0;4003.0;5002.0;4003.0
;teleport-assistance6_problem_162;8000.0;5003.0;7003.0;8002.0;8002.0
;teleport-assistance6_problem_163;6000.0;5003.0;5003.0;5003.0;5003.0
;teleport-assistance6_problem_164;10000.0;4003.0;8003.0;10002.0;10002.0
;teleport-assistance6_problem_165;6000.0;3003.0;3003.0;6002.0;3003.0
;teleport-assistance6_problem_166;13000.0;7003.0;11003.0;13002.0;13002.0
;teleport-assistance6_problem_167;7000.0;5003.0;5003.0;5003.0;5003.0
;teleport-assistance6_problem_168;10000.0;3003.0;6003.0;10002.0;10002.0
;teleport-assistance6_problem_169;7000.0;5003.0;5003.0;7001.0;5003.0
;teleport-assistance6_problem_16;9000.0;8003.0;8003.0;9001.0;8003.0
;teleport-assistance6_problem_170;5000.0;2003.0;2003.0;2003.0;2003.0
;teleport-assistance6_problem_171;7000.0;6003.0;6003.0;7001.0;6003.0
;teleport-assistance6_problem_172;4000.0;2003.0;2003.0;2003.0;2003.0
;teleport-assistance6_problem_173;4000.0;3003.0;3003.0;4002.0;3003.0
;teleport-assistance6_problem_174;6000.0;1003.0;3003.0;3003.0;3003.0
;teleport-assistance6_problem_175;8000.0;7003.0;7003.0;7003.0;7003.0
;teleport-assistance6_problem_176;6000.0;3003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_177;7000.0;5003.0;5003.0;7002.0;7002.0
;teleport-assistance6_problem_178;4000.0;2003.0;2003.0;2003.0;2003.0
;teleport-assistance6_problem_179;7000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_17;11000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_180;9000.0;3003.0;5003.0;9002.0;9002.0
;teleport-assistance6_problem_181;10000.0;2003.0;5003.0;10002.0;10002.0
;teleport-assistance6_problem_182;5000.0;3.0;2003.0;5002.0;5002.0
;teleport-assistance6_problem_183;10000.0;8003.0;8003.0;10002.0;8003.0
;teleport-assistance6_problem_184;12000.0;10003.0;10003.0;12002.0;10003.0
;teleport-assistance6_problem_185;8000.0;3003.0;5003.0;8001.0;8002.0
;teleport-assistance6_problem_186;9000.0;1003.0;5003.0;9002.0;9002.0
;teleport-assistance6_problem_187;7000.0;4003.0;6003.0;7002.0;7002.0
;teleport-assistance6_problem_188;5000.0;2003.0;2003.0;2003.0;2003.0
;teleport-assistance6_problem_189;5000.0;2003.0;3003.0;5002.0;3003.0
;teleport-assistance6_problem_18;8000.0;3003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_190;9000.0;3003.0;5003.0;9002.0;9002.0
;teleport-assistance6_problem_191;12000.0;4003.0;4003.0;4003.0;4003.0
;teleport-assistance6_problem_192;11000.0;2003.0;8003.0;11002.0;11002.0
;teleport-assistance6_problem_193;11000.0;2003.0;2003.0;2003.0;2003.0
;teleport-assistance6_problem_194;9000.0;6003.0;6003.0;6003.0;6003.0
;teleport-assistance6_problem_195;10000.0;9003.0;9003.0;9003.0;9003.0
;teleport-assistance6_problem_196;10000.0;3003.0;8003.0;10002.0;10002.0
;teleport-assistance6_problem_197;14000.0;6003.0;6003.0;6003.0;6003.0
;teleport-assistance6_problem_198;10000.0;5003.0;5003.0;5003.0;5003.0
