domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance6_domain;teleport-assistance6_problem_0;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_100;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_101;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_102;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_103;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_104;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_105;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_106;0;3.0;3.0;1.0;3.0
;teleport-assistance6_problem_107;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_108;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_109;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_10;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_110;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_111;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_112;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_113;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_114;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_115;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_116;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_117;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_118;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_119;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_11;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_120;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_121;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_122;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_123;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_124;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_125;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_126;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_127;0;3.0;3.0;1.0;1.0
;teleport-assistance6_problem_128;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_129;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_12;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_130;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_131;0;3.0;3.0;2.0;3.0
;teleport-assistance6_problem_132;0;3.0;3.0;1.0;2.0
;teleport-assistance6_problem_133;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_134;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_135;0;3.0;3.0;2.0;2.0
;teleport-assistance6_problem_136;0;3.0;3.0;3.0;3.0
;teleport-assistance6_problem_137;0;3.0;3.0;2.0;2.0
