domain;problem;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance6_domain;teleport-assistance6_problem_0;2;1;1
;teleport-assistance6_problem_100;2;4;4
;teleport-assistance6_problem_101;1;4;4
;teleport-assistance6_problem_102;1;1;1
;teleport-assistance6_problem_103;2;3;1
;teleport-assistance6_problem_104;1;1;1
;teleport-assistance6_problem_105;1;1;1
;teleport-assistance6_problem_106;2;2;1
;teleport-assistance6_problem_107;2;5;5
;teleport-assistance6_problem_108;1;3;4
;teleport-assistance6_problem_109;1;1;1
;teleport-assistance6_problem_10;2;1;1
;teleport-assistance6_problem_110;2;3;3
;teleport-assistance6_problem_111;2;1;1
;teleport-assistance6_problem_112;1;1;1
;teleport-assistance6_problem_113;2;1;1
;teleport-assistance6_problem_114;2;1;1
;teleport-assistance6_problem_115;2;2;1
;teleport-assistance6_problem_116;1;6;6
;teleport-assistance6_problem_117;1;1;1
;teleport-assistance6_problem_118;2;9;9
;teleport-assistance6_problem_119;1;2;2
;teleport-assistance6_problem_11;1;4;3
;teleport-assistance6_problem_120;1;4;1
;teleport-assistance6_problem_121;2;4;1
;teleport-assistance6_problem_122;2;4;1
;teleport-assistance6_problem_123;1;1;1
;teleport-assistance6_problem_124;1;3;1
;teleport-assistance6_problem_125;1;1;1
;teleport-assistance6_problem_126;2;3;1
;teleport-assistance6_problem_127;2;2;2
;teleport-assistance6_problem_128;1;1;1
;teleport-assistance6_problem_129;1;1;1
;teleport-assistance6_problem_12;2;3;1
;teleport-assistance6_problem_130;1;1;1
;teleport-assistance6_problem_131;2;4;1
;teleport-assistance6_problem_132;2;5;4
;teleport-assistance6_problem_133;2;1;1
;teleport-assistance6_problem_134;2;1;1
;teleport-assistance6_problem_135;1;5;4
;teleport-assistance6_problem_136;1;1;1
;teleport-assistance6_problem_137;1;7;6
;teleport-assistance6_problem_138;1;3;3
;teleport-assistance6_problem_139;2;1;1
;teleport-assistance6_problem_13;2;2;1
;teleport-assistance6_problem_140;1;6;1
;teleport-assistance6_problem_141;1;1;1
;teleport-assistance6_problem_142;1;5;4
;teleport-assistance6_problem_143;1;4;1
;teleport-assistance6_problem_144;2;3;1
;teleport-assistance6_problem_145;1;1;1
;teleport-assistance6_problem_146;1;4;4
;teleport-assistance6_problem_147;2;4;4
;teleport-assistance6_problem_148;2;2;1
;teleport-assistance6_problem_149;2;3;1
;teleport-assistance6_problem_14;1;1;1
;teleport-assistance6_problem_150;1;1;1
;teleport-assistance6_problem_151;2;3;2
;teleport-assistance6_problem_152;2;4;4
;teleport-assistance6_problem_153;2;4;1
;teleport-assistance6_problem_154;1;2;1
;teleport-assistance6_problem_155;2;3;1
;teleport-assistance6_problem_156;1;1;1
;teleport-assistance6_problem_157;1;5;4
;teleport-assistance6_problem_158;1;1;1
;teleport-assistance6_problem_159;1;2;1
;teleport-assistance6_problem_15;2;4;1
;teleport-assistance6_problem_160;2;1;1
;teleport-assistance6_problem_161;2;2;1
;teleport-assistance6_problem_162;2;3;3
;teleport-assistance6_problem_163;2;2;2
;teleport-assistance6_problem_164;2;5;5
;teleport-assistance6_problem_165;1;3;1
;teleport-assistance6_problem_166;2;4;5
;teleport-assistance6_problem_167;2;1;1
;teleport-assistance6_problem_168;2;5;4
;teleport-assistance6_problem_169;1;2;1
;teleport-assistance6_problem_16;1;2;1
;teleport-assistance6_problem_170;1;1;1
;teleport-assistance6_problem_171;2;2;1
;teleport-assistance6_problem_172;1;1;1
;teleport-assistance6_problem_173;1;2;1
;teleport-assistance6_problem_174;1;2;1
;teleport-assistance6_problem_175;2;1;1
;teleport-assistance6_problem_176;2;2;1
;teleport-assistance6_problem_177;1;3;3
;teleport-assistance6_problem_178;1;1;1
;teleport-assistance6_problem_179;1;1;1
;teleport-assistance6_problem_17;1;1;1
;teleport-assistance6_problem_180;1;4;4
;teleport-assistance6_problem_181;2;6;4
;teleport-assistance6_problem_182;1;4;3
;teleport-assistance6_problem_183;2;2;2
;teleport-assistance6_problem_184;2;2;1
;teleport-assistance6_problem_185;2;4;3
;teleport-assistance6_problem_186;1;5;5
;teleport-assistance6_problem_187;1;3;3
;teleport-assistance6_problem_188;1;1;1
;teleport-assistance6_problem_189;1;3;1
;teleport-assistance6_problem_18;2;2;1
;teleport-assistance6_problem_190;2;5;5
;teleport-assistance6_problem_191;2;1;1
;teleport-assistance6_problem_192;1;6;5
;teleport-assistance6_problem_193;1;1;1
;teleport-assistance6_problem_194;1;1;1
;teleport-assistance6_problem_195;2;1;1
;teleport-assistance6_problem_196;2;5;4
;teleport-assistance6_problem_197;1;1;1
;teleport-assistance6_problem_198;1;1;1
;teleport-assistance6_problem_199;2;2;2
;teleport-assistance6_problem_19;1;7;7
;teleport-assistance6_problem_1;2;4;4
;teleport-assistance6_problem_20;1;1;1
;teleport-assistance6_problem_21;2;1;1
;teleport-assistance6_problem_22;2;2;2
;teleport-assistance6_problem_23;1;1;1
;teleport-assistance6_problem_24;2;1;1
;teleport-assistance6_problem_25;1;3;1
;teleport-assistance6_problem_26;2;1;1
;teleport-assistance6_problem_27;2;4;4
;teleport-assistance6_problem_28;2;1;1
;teleport-assistance6_problem_29;2;2;2
;teleport-assistance6_problem_2;1;1;1
;teleport-assistance6_problem_30;1;2;1
;teleport-assistance6_problem_31;1;1;1
;teleport-assistance6_problem_32;2;4;4
;teleport-assistance6_problem_33;1;2;1
;teleport-assistance6_problem_34;1;1;1
;teleport-assistance6_problem_35;1;4;4
;teleport-assistance6_problem_36;2;2;2
;teleport-assistance6_problem_37;2;3;3
;teleport-assistance6_problem_38;1;1;1
;teleport-assistance6_problem_39;2;3;2
;teleport-assistance6_problem_3;2;1;1
;teleport-assistance6_problem_40;1;2;2
;teleport-assistance6_problem_41;1;1;1
;teleport-assistance6_problem_42;1;1;1
;teleport-assistance6_problem_43;2;3;1
;teleport-assistance6_problem_44;1;2;1
;teleport-assistance6_problem_45;2;1;1
;teleport-assistance6_problem_46;2;1;1
;teleport-assistance6_problem_47;2;1;1
;teleport-assistance6_problem_48;1;1;1
;teleport-assistance6_problem_49;2;6;5
;teleport-assistance6_problem_4;2;7;7
;teleport-assistance6_problem_50;1;5;5
;teleport-assistance6_problem_51;2;5;5
;teleport-assistance6_problem_52;1;1;1
;teleport-assistance6_problem_53;2;1;1
;teleport-assistance6_problem_54;1;1;1
;teleport-assistance6_problem_55;2;4;2
;teleport-assistance6_problem_56;1;1;1
;teleport-assistance6_problem_57;1;1;1
;teleport-assistance6_problem_58;1;1;1
;teleport-assistance6_problem_59;2;5;4
;teleport-assistance6_problem_5;1;1;1
;teleport-assistance6_problem_60;2;3;2
;teleport-assistance6_problem_61;2;2;1
;teleport-assistance6_problem_62;1;3;1
;teleport-assistance6_problem_63;2;1;1
;teleport-assistance6_problem_64;1;4;4
;teleport-assistance6_problem_65;2;1;1
;teleport-assistance6_problem_66;1;1;1
;teleport-assistance6_problem_67;2;1;1
;teleport-assistance6_problem_68;2;2;1
;teleport-assistance6_problem_69;2;6;6
;teleport-assistance6_problem_6;1;5;4
;teleport-assistance6_problem_70;1;1;1
;teleport-assistance6_problem_71;1;4;1
;teleport-assistance6_problem_72;2;4;2
