domain;problem;LTRA;BOTAV2;BOTAV2-psi
;teleport-assistance6_problem_73;1;1;1
;teleport-assistance6_problem_74;2;1;1
;teleport-assistance6_problem_75;1;3;2
;teleport-assistance6_problem_76;2;2;1
;teleport-assistance6_problem_77;2;1;1
;teleport-assistance6_problem_78;1;3;3
;teleport-assistance6_problem_79;1;4;4
;teleport-assistance6_problem_7;1;2;1
;teleport-assistance6_problem_80;2;1;1
;teleport-assistance6_problem_81;2;1;1
;teleport-assistance6_problem_82;2;2;1
;teleport-assistance6_problem_83;2;4;4
;teleport-assistance6_problem_84;1;1;1
;teleport-assistance6_problem_85;1;4;3
;teleport-assistance6_problem_86;2;1;1
;teleport-assistance6_problem_87;1;2;1
;teleport-assistance6_problem_88;2;4;4
;teleport-assistance6_problem_89;2;6;7
;teleport-assistance6_problem_8;2;4;1
;teleport-assistance6_problem_90;2;1;1
;teleport-assistance6_problem_91;2;1;1
;teleport-assistance6_problem_92;2;3;1
;teleport-assistance6_problem_93;1;3;3
;teleport-assistance6_problem_94;2;4;4
;teleport-assistance6_problem_95;2;5;5
;teleport-assistance6_problem_96;2;2;1
;teleport-assistance6_problem_97;2;1;1
;teleport-assistance6_problem_98;1;4;3
;teleport-assistance6_problem_99;1;1;1
;teleport-assistance6_problem_9;2;1;1
