domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance1_domain;car-assistance1_problem_0;0.1201024055;0.2425639629;0.8535602093;0.5960438251;0.3649499416
;car-assistance1_problem_10;0.1129615307;0.3502283096;1.2527737617;1.7826323509;0.4951515198
;car-assistance1_problem_11;0.1225528717;0.6347615719;1.4672930241;3.6961500645;0.8415818214
;car-assistance1_problem_12;0.0853848457;0.1382086277;0.5320706367;0.5269627571;0.2414610386
;car-assistance1_problem_13;0.1068193913;0.3127732277;1.244276762;0.4151308537;0.4238364697
;car-assistance1_problem_14;0.0963206291;0.2160613537;1.2304751873;0.9688017368;0.347645998
;car-assistance1_problem_15;0.0967969894;0.2066135406;0.7518773079;0.9353542328;0.3281149864
;car-assistance1_problem_16;0.0984466076;0.2143759727;1.3898851871;0.5102074146;0.3307981491
;car-assistance1_problem_17;0.0851969719;0.1376140118;0.4888482094;0.3579313755;0.2284243107
;car-assistance1_problem_18;0.0850720406;0.1406357288;0.5096402168;0.499904871;0.2358765602
;car-assistance1_problem_19;0.0925147533;0.1926493645;1.1137297153;0.6798715591;0.2998228073
;car-assistance1_problem_1;0.0958132744;0.2165777683;1.129411459;0.7238013744;0.324201107
;car-assistance1_problem_2;0.0860190392;0.1400063038;0.4812815189;0.634968996;0.2446978092
;car-assistance1_problem_3;0.1308529377;0.647911787;2.7165489197;2.8569152355;0.8445408344
;car-assistance1_problem_4;0.1146328449;0.414170742;1.3653857708;2.5272066593;0.5878436565
;car-assistance1_problem_5;0.1157751083;0.259909153;1.0548944473;1.0665676594;0.3675038815
;car-assistance1_problem_6;0.1028017998;0.2423551083;0.8473696709;0.8219354153;0.3774535656
;car-assistance1_problem_7;0.1090013981;0.3318126202;1.210919857;1.7914147377;0.4930860996
;car-assistance1_problem_8;0.1178994179;0.3861603737;1.452947855;2.281195879;0.5539710522
;car-assistance1_problem_9;0.0873568058;0.2545444965;0.9337153435;0.852098465;0.3651967049
