domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance1_domain;car-assistance1_problem_0;0;3;2;2;2
;car-assistance1_problem_10;0;9;7;8;7
;car-assistance1_problem_11;0;16;12;12;12
;car-assistance1_problem_12;0;5;4;4;4
;car-assistance1_problem_13;0;4;4;4;4
;car-assistance1_problem_14;0;8;6;6;6
;car-assistance1_problem_15;0;7;5;7;5
;car-assistance1_problem_16;0;6;6;5;5
;car-assistance1_problem_17;0;4;3;3;3
;car-assistance1_problem_18;0;6;5;5;5
;car-assistance1_problem_19;0;7;5;5;5
;car-assistance1_problem_1;0;5;4;6;4
;car-assistance1_problem_2;0;8;6;6;6
;car-assistance1_problem_3;0;7;5;5;5
;car-assistance1_problem_4;0;9;7;8;7
;car-assistance1_problem_5;0;9;7;7;7
;car-assistance1_problem_6;0;11;7;7;7
;car-assistance1_problem_7;0;9;6;7;6
;car-assistance1_problem_8;0;10;8;11;8
;car-assistance1_problem_9;0;3;2;5;2
