domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance1_domain;car-assistance1_problem_0;8000;5000;6000;6000;6000
;car-assistance1_problem_10;13000;9000;11000;13000;11000
;car-assistance1_problem_11;18000;11000;16000;16000;16000
;car-assistance1_problem_12;9000;5000;7000;7000;7000
;car-assistance1_problem_13;11000;9000;9000;9000;9000
;car-assistance1_problem_14;14000;9000;12000;12000;12000
;car-assistance1_problem_15;11000;7000;10000;10000;10000
;car-assistance1_problem_16;10000;7000;9000;8000;8000
;car-assistance1_problem_17;8000;5000;6000;6000;6000
;car-assistance1_problem_18;10000;6000;8000;8000;8000
;car-assistance1_problem_19;11000;7000;9000;9000;9000
;car-assistance1_problem_1;13000;10000;12000;12000;12000
;car-assistance1_problem_2;11000;6000;9000;9000;9000
;car-assistance1_problem_3;12000;7000;10000;10000;10000
;car-assistance1_problem_4;13000;8000;12000;13000;12000
;car-assistance1_problem_5;12000;7000;10000;10000;10000
;car-assistance1_problem_6;13000;9000;11000;11000;11000
;car-assistance1_problem_7;15000;9000;13000;13000;13000
;car-assistance1_problem_8;17000;11000;14000;16000;14000
;car-assistance1_problem_9;9000;6000;7000;8000;7000
