domain;problem;LTRA;BOTAV2;BOTAV2-psi
car-assistance1_domain;car-assistance1_problem_0;2;2;2
;car-assistance1_problem_10;6;7;6
;car-assistance1_problem_11;6;6;6
;car-assistance1_problem_12;4;4;4
;car-assistance1_problem_13;4;4;4
;car-assistance1_problem_14;4;4;4
;car-assistance1_problem_15;4;6;4
;car-assistance1_problem_16;5;4;4
;car-assistance1_problem_17;3;3;3
;car-assistance1_problem_18;4;4;4
;car-assistance1_problem_19;4;4;4
;car-assistance1_problem_1;4;6;4
;car-assistance1_problem_2;5;5;5
;car-assistance1_problem_3;4;4;4
;car-assistance1_problem_4;4;5;4
;car-assistance1_problem_5;4;4;4
;car-assistance1_problem_6;6;6;6
;car-assistance1_problem_7;4;5;4
;car-assistance1_problem_8;7;10;7
;car-assistance1_problem_9;2;5;2
