domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
termes-assistance1_domain;termes-assistance1_problem_0;0;14;2;22;6
;termes-assistance1_problem_10;0;10;6;10;6
;termes-assistance1_problem_11;0;10;6;10;6
;termes-assistance1_problem_12;0;12;4;14;6
;termes-assistance1_problem_13;0;18;2;22;12
;termes-assistance1_problem_14;0;16;3;20;10
;termes-assistance1_problem_15;0;8;4;8;4
;termes-assistance1_problem_16;0;12;4;12;8
;termes-assistance1_problem_17;0;8;2;8;4
;termes-assistance1_problem_18;0;10;4;12;4
;termes-assistance1_problem_19;0;10;6;loop;6
;termes-assistance1_problem_1;0;10;2;12;4
;termes-assistance1_problem_20;0;10;2;12;4
;termes-assistance1_problem_21;0;14;2;16;8
;termes-assistance1_problem_22;0;10;4;12;4
;termes-assistance1_problem_23;0;10;2;12;4
;termes-assistance1_problem_24;0;14;6;24;8
;termes-assistance1_problem_25;0;10;4;12;4
;termes-assistance1_problem_26;0;12;4;14;6
;termes-assistance1_problem_27;0;10;4;12;4
;termes-assistance1_problem_28;0;10;2;12;4
;termes-assistance1_problem_29;0;8;2;8;4
;termes-assistance1_problem_2;0;10;2;12;4
;termes-assistance1_problem_30;0;10;4;12;4
;termes-assistance1_problem_31;0;10;2;12;4
;termes-assistance1_problem_32;0;16;8;16;12
;termes-assistance1_problem_33;0;12;5;14;6
;termes-assistance1_problem_34;0;18;6;32;12
;termes-assistance1_problem_35;0;16;4;18;10
;termes-assistance1_problem_36;0;14;8;32;8
;termes-assistance1_problem_37;0;16;6;20;10
;termes-assistance1_problem_38;0;16;6;26;10
;termes-assistance1_problem_39;0;18;8;loop;14
;termes-assistance1_problem_3;0;12;5;14;6
;termes-assistance1_problem_40;0;10;4;12;4
;termes-assistance1_problem_41;0;10;2;10;6
;termes-assistance1_problem_42;0;8;3;15;7
;termes-assistance1_problem_43;0;18;2;36;8
;termes-assistance1_problem_44;0;6;2;8;4
;termes-assistance1_problem_45;0;18;8;22;10
;termes-assistance1_problem_46;0;16;4;30;10
;termes-assistance1_problem_47;0;14;2;18;6
;termes-assistance1_problem_48;0;12;4;14;6
;termes-assistance1_problem_49;0;10;2;10;4
;termes-assistance1_problem_4;0;10;2;16;4
;termes-assistance1_problem_5;0;12;4;14;6
;termes-assistance1_problem_6;0;8;2;8;4
;termes-assistance1_problem_7;0;10;2;12;4
;termes-assistance1_problem_8;0;18;4;30;8
;termes-assistance1_problem_9;0;10;2;12;4
