domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
termes-assistance1_domain;termes-assistance1_problem_0;94000;30014;72002;50022;60006
;termes-assistance1_problem_10;78000;18010;31006;21010;25006
;termes-assistance1_problem_11;77000;18010;30006;21010;24006
;termes-assistance1_problem_12;167000;24012;50004;36014;46006
;termes-assistance1_problem_13;108000;42018;77002;54022;60012
;termes-assistance1_problem_14;117000;36016;78003;43020;43010
;termes-assistance1_problem_15;72000;18008;24004;20008;22004
;termes-assistance1_problem_16;85000;30012;49004;32012;34008
;termes-assistance1_problem_17;73000;18008;29002;20008;23004
;termes-assistance1_problem_18;75000;18010;25004;23012;25004
;termes-assistance1_problem_19;175000;24010;35006;loop;35006
;termes-assistance1_problem_1;75000;18010;31002;24012;27004
;termes-assistance1_problem_20;91000;18010;37002;28012;33004
;termes-assistance1_problem_21;89000;30014;69002;48016;55008
;termes-assistance1_problem_22;77000;18010;26004;22012;26004
;termes-assistance1_problem_23;91000;18010;37002;28012;33004
;termes-assistance1_problem_24;105000;30014;71006;52024;61008
;termes-assistance1_problem_25;78000;18010;30004;24012;30004
;termes-assistance1_problem_26;159000;24012;40004;32014;36006
;termes-assistance1_problem_27;79000;18010;31004;24012;31004
;termes-assistance1_problem_28;78000;18010;31002;22012;27004
;termes-assistance1_problem_29;73000;18008;29002;20008;23004
;termes-assistance1_problem_2;75000;18010;28002;21012;23004
;termes-assistance1_problem_30;76000;18010;28004;24012;28004
;termes-assistance1_problem_31;76000;18010;29002;22012;25004
;termes-assistance1_problem_32;127000;42016;60008;44016;48012
;termes-assistance1_problem_33;150000;24012;48005;28014;32006
;termes-assistance1_problem_34;174000;42018;98006;71032;80012
;termes-assistance1_problem_35;118000;36016;66004;48018;52010
;termes-assistance1_problem_36;105000;30014;55008;51032;55008
;termes-assistance1_problem_37;131000;36016;63006;48020;57010
;termes-assistance1_problem_38;137000;42016;80006;56026;64010
;termes-assistance1_problem_39;153000;48018;84008;loop;64014
;termes-assistance1_problem_3;148000;24012;46005;28014;30006
;termes-assistance1_problem_40;83000;18010;26004;24012;26004
;termes-assistance1_problem_41;75000;18010;28002;21010;22006
;termes-assistance1_problem_42;72000;18008;33003;34015;37007
;termes-assistance1_problem_43;142000;42018;117002;78036;104008
;termes-assistance1_problem_44;74000;18006;30002;24008;26004
;termes-assistance1_problem_45;124000;42018;76008;65022;72010
;termes-assistance1_problem_46;144000;36016;88004;50030;58010
;termes-assistance1_problem_47;64000;30014;50002;36018;40006
;termes-assistance1_problem_48;160000;24012;41004;32014;37006
;termes-assistance1_problem_49;109000;18010;45002;30010;41004
;termes-assistance1_problem_4;138000;18010;54002;37016;50004
;termes-assistance1_problem_5;161000;24012;42004;32014;38006
;termes-assistance1_problem_6;73000;18008;29002;20008;23004
;termes-assistance1_problem_7;77000;18010;33002;24012;29004
;termes-assistance1_problem_8;129000;42018;96004;67030;87008
;termes-assistance1_problem_9;78000;18010;34002;24012;30004
