domain;problem;LTRA;BOTAV2;BOTAV2-psi
termes-assistance1_domain;termes-assistance1_problem_0;1;24;21
;termes-assistance1_problem_10;4;4;2
;termes-assistance1_problem_11;4;4;3
;termes-assistance1_problem_12;3;15;13
;termes-assistance1_problem_13;2;13;8
;termes-assistance1_problem_14;1;14;7
;termes-assistance1_problem_15;2;4;4
;termes-assistance1_problem_16;2;5;3
;termes-assistance1_problem_17;1;4;4
;termes-assistance1_problem_18;2;6;4
;termes-assistance1_problem_19;2;loop;8
;termes-assistance1_problem_1;1;9;7
;termes-assistance1_problem_20;1;13;11
;termes-assistance1_problem_21;1;23;18
;termes-assistance1_problem_22;2;6;6
;termes-assistance1_problem_23;1;13;12
;termes-assistance1_problem_24;4;27;20
;termes-assistance1_problem_25;2;9;9
;termes-assistance1_problem_26;2;12;9
;termes-assistance1_problem_27;2;9;10
;termes-assistance1_problem_28;1;4;4
;termes-assistance1_problem_29;1;4;4
;termes-assistance1_problem_2;1;7;5
;termes-assistance1_problem_30;2;7;5
;termes-assistance1_problem_31;1;6;5
;termes-assistance1_problem_32;3;8;5
;termes-assistance1_problem_33;3;8;6
;termes-assistance1_problem_34;1;36;25
;termes-assistance1_problem_35;2;18;13
;termes-assistance1_problem_36;4;24;16
;termes-assistance1_problem_37;2;17;16
;termes-assistance1_problem_38;4;19;13
;termes-assistance1_problem_39;3;loop;14
;termes-assistance1_problem_3;3;8;6
;termes-assistance1_problem_40;2;8;7
;termes-assistance1_problem_41;1;7;5
;termes-assistance1_problem_42;2;10;9
;termes-assistance1_problem_43;28;41;37
;termes-assistance1_problem_44;1;9;7
;termes-assistance1_problem_45;8;29;19
;termes-assistance1_problem_46;15;21;13
;termes-assistance1_problem_47;1;10;8
;termes-assistance1_problem_48;2;12;11
;termes-assistance1_problem_49;1;16;15
;termes-assistance1_problem_4;2;22;21
;termes-assistance1_problem_5;2;12;9
;termes-assistance1_problem_6;1;3;2
;termes-assistance1_problem_7;1;9;7
;termes-assistance1_problem_8;20;30;29
;termes-assistance1_problem_9;1;9;8
