domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
termes-assistance1_domain;termes-assistance1_problem_0;91.4290952682;12.8277244568;90.2463703156;949.3402137756;489.9502823353
;termes-assistance1_problem_10;2.4529495239;0.2088980675;14.5065405369;16.3323700428;14.4640467167
;termes-assistance1_problem_11;9.8452365398;0.33279562;61.6538994312;61.0189051628;60.2919719219
;termes-assistance1_problem_12;58.1128547192;0.7006905079;88.2788071632;131.7398788929;111.3089652061
;termes-assistance1_problem_13;29.7160570621;395.1187984943;31.0982596874;774.0059492588;633.2260923386
;termes-assistance1_problem_14;17.7245597839;22.0661180019;97.5029833317;331.7959580421;240.4428479671
;termes-assistance1_problem_15;10.102496624;0.3393468857;39.6995315552;42.7052109241;41.6943888664
;termes-assistance1_problem_16;10.4213705063;1.2844011784;54.4835443497;86.5725178719;87.8434455395
;termes-assistance1_problem_17;44.6932122707;0.4980661869;104.552626133;239.7656128407;234.4704432487
;termes-assistance1_problem_18;10.4220659733;0.3387227058;58.5580909252;83.7601504326;56.633505106
;termes-assistance1_problem_19;11.0649774075;0.4170086384;62.2317991257;loop;62.2601287365
;termes-assistance1_problem_1;36.8034293652;0.490295887;64.6225075722;194.4430356026;145.6448667049
;termes-assistance1_problem_20;18.5377717018;0.376237154;43.9929676056;123.7941279411;80.9093382359
;termes-assistance1_problem_21;12.6159348488;1.3163368702;12.9033412933;119.6221621037;95.9330456257
;termes-assistance1_problem_22;8.0089063644;0.3852443695;56.7680373192;69.2287840843;55.7517635822
;termes-assistance1_problem_23;74.2276155949;0.7320792675;101.1885223389;366.6084105968;221.8465104103
;termes-assistance1_problem_24;65.2691240311;13.6808736324;535.3829834461;1572.8621969223;1077.0425043106
;termes-assistance1_problem_25;7.94196105;0.2736542225;26.0869514942;35.3069183826;28.8279407024
;termes-assistance1_problem_26;424.2929079533;1.2983393669;929.8888061047;1980.9597053528;1585.660620451
;termes-assistance1_problem_27;12.3209350109;0.3504385948;46.4649684429;58.7611722946;45.2621507645
;termes-assistance1_problem_28;7.6605017185;0.2749078274;12.377794981;34.0101373196;26.460048914
;termes-assistance1_problem_29;18.5792367458;0.59014678;48.9590175152;119.3909935951;111.5451366901
;termes-assistance1_problem_2;50.3188447952;0.7200622559;195.6760699749;631.2904682159;479.0425744057
;termes-assistance1_problem_30;6.9816515446;0.4341747761;27.207482338;33.8649401665;28.0817890167
;termes-assistance1_problem_31;6.671902895;0.2752668858;13.4717612267;35.5578739643;27.6805415154
;termes-assistance1_problem_32;32.2038192749;16.7505507469;192.1618299484;347.8487541676;349.1135635376
;termes-assistance1_problem_33;31.3315973282;0.6908388138;121.3449547291;309.2769620419;235.6695110798
;termes-assistance1_problem_34;39.2187302113;17.8775963783;132.2427566051;319.4415581226;218.066696167
;termes-assistance1_problem_35;23.8278982639;7.5825204849;132.0958161354;409.2666101456;386.4762423038
;termes-assistance1_problem_36;8.9545865059;1.7397739887;103.6742835045;224.1392257214;108.4974963665
;termes-assistance1_problem_37;95.3888192177;90.3154158592;426.1734187603;961.8772957325;1067.4576425552
;termes-assistance1_problem_38;113.7991940975;93.4719889164;416.2584297657;867.4212584496;823.4352238178
;termes-assistance1_problem_39;188.3825740814;526.4687430859;469.4535269737;loop;2244.4802873135
;termes-assistance1_problem_3;6.6751537323;0.4284403324;45.03738904;67.064624548;60.4264888763
;termes-assistance1_problem_40;12.9850866795;0.3919215202;98.9753913879;147.565567255;102.3875212669
;termes-assistance1_problem_41;2.3910784721;0.2269039154;4.9624891281;16.3920369148;14.9917559624
;termes-assistance1_problem_42;3.775274992;0.2776405811;4.922724247;20.548763752;18.3263964653
;termes-assistance1_problem_43;147.9535310268;425.6705195904;143.4796905518;1002.9301269055;543.00633955
;termes-assistance1_problem_44;6.1458837986;0.2729694843;12.3790199757;32.7534887791;26.041135788
;termes-assistance1_problem_45;58.6869277954;83.3219549656;352.0977482796;643.9927277565;468.9338769913
;termes-assistance1_problem_46;537.9991695881;72.9054698944;968.115842104;3955.1802423;2497.2308549881
;termes-assistance1_problem_47;6.3571658134;0.6075699329;12.631226778;51.132537365;37.1745512486
;termes-assistance1_problem_48;12.4200146198;0.4812467098;34.7902715206;66.4977571964;58.0355029106
;termes-assistance1_problem_49;38.8929753304;0.6319310665;85.3468661308;282.0195841789;183.4414558411
;termes-assistance1_problem_4;214.0476801395;0.7149484158;255.8719203472;802.9669294357;451.4119091034
;termes-assistance1_problem_5;452.5349035263;1.305685997;956.4769682884;1981.3756971359;1614.8799197674
;termes-assistance1_problem_6;10.0742540359;0.3362298012;20.7821080685;41.6351270676;44.838899374
;termes-assistance1_problem_7;25.0003259182;0.5618746281;78.8700790405;330.4494512081;215.4839682579
;termes-assistance1_problem_8;27.4789283276;84.6011226177;120.8514683247;501.7408595085;324.8430972099
;termes-assistance1_problem_9;40.3128116131;0.4856898785;92.5593385696;328.0839700699;239.2232289314
