domain;problem;LTRA;BOTAV2;BOTAV2-psi
termes-assistance1_domain;termes-assistance1_problem_0;2;13;6
;termes-assistance1_problem_10;7;7;6
;termes-assistance1_problem_11;7;7;6
;termes-assistance1_problem_12;4;9;6
;termes-assistance1_problem_13;3;15;12
;termes-assistance1_problem_14;3;13;10
;termes-assistance1_problem_15;4;5;4
;termes-assistance1_problem_16;4;9;8
;termes-assistance1_problem_17;2;5;4
;termes-assistance1_problem_18;4;7;4
;termes-assistance1_problem_19;6;loop;6
;termes-assistance1_problem_1;2;7;4
;termes-assistance1_problem_20;2;7;4
;termes-assistance1_problem_21;2;11;8
;termes-assistance1_problem_22;4;7;4
;termes-assistance1_problem_23;2;7;4
;termes-assistance1_problem_24;6;15;8
;termes-assistance1_problem_25;4;7;4
;termes-assistance1_problem_26;4;9;6
;termes-assistance1_problem_27;4;7;4
;termes-assistance1_problem_28;2;7;4
;termes-assistance1_problem_29;2;5;4
;termes-assistance1_problem_2;2;7;4
;termes-assistance1_problem_30;4;7;4
;termes-assistance1_problem_31;2;7;4
;termes-assistance1_problem_32;8;13;12
;termes-assistance1_problem_33;5;9;6
;termes-assistance1_problem_34;6;21;12
;termes-assistance1_problem_35;4;13;10
;termes-assistance1_problem_36;8;19;8
;termes-assistance1_problem_37;6;13;10
;termes-assistance1_problem_38;6;17;10
;termes-assistance1_problem_39;8;loop;14
;termes-assistance1_problem_3;5;9;6
;termes-assistance1_problem_40;4;7;4
;termes-assistance1_problem_41;2;7;6
;termes-assistance1_problem_42;3;10;7
;termes-assistance1_problem_43;3;21;8
;termes-assistance1_problem_44;2;6;4
;termes-assistance1_problem_45;8;15;10
;termes-assistance1_problem_46;4;19;10
;termes-assistance1_problem_47;2;11;6
;termes-assistance1_problem_48;4;9;6
;termes-assistance1_problem_49;2;7;4
;termes-assistance1_problem_4;2;9;4
;termes-assistance1_problem_5;4;9;6
;termes-assistance1_problem_6;2;5;4
;termes-assistance1_problem_7;2;7;4
;termes-assistance1_problem_8;4;19;8
;termes-assistance1_problem_9;2;7;4
