domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
visitall-assistance_domain;visitall-assistance_problem_0;0.1716990471;0.189176321;0.5347926617;0.6586444378;0.6523077488
;visitall-assistance_problem_10;None;0.1471636295;0.4852042198;0.2907762527;0.2946705818
;visitall-assistance_problem_11;None;0.12906003;0.4136116505;0.2732942104;0.2756552696
;visitall-assistance_problem_12;None;0.1131885052;0.3624551296;0.2970576286;0.3098547459
;visitall-assistance_problem_13;None;1.0699326992;1.7551424503;2.5734255314;2.5802249908
;visitall-assistance_problem_14;None;0.1627116203;0.4365997314;0.3994860649;0.4170336723
;visitall-assistance_problem_15;None;0.1176199913;0.3827903271;0.1814465523;0.1947822571
;visitall-assistance_problem_16;None;0.1485898495;0.4549574852;0.2308478355;0.2315604687
;visitall-assistance_problem_17;0.1495726109;0.2101223469;0.333227396;0.3544955254;0.3581752777
;visitall-assistance_problem_18;None;0.1061713696;0.3679530621;0.2905254364;0.3051018715
;visitall-assistance_problem_19;None;0.1705338955;0.4508914948;0.4821631908;0.460804224
;visitall-assistance_problem_1;None;0.2334311008;0.5828096867;0.436851263;0.4070880413
;visitall-assistance_problem_20;None;0.2098360062;0.6298825741;1.5387024879;1.5079436302
;visitall-assistance_problem_21;None;0.3374557495;0.6015512943;0.7546916008;0.7046170235
;visitall-assistance_problem_22;None;0.0986590385;0.3348214626;0.1628124714;0.1789886951
;visitall-assistance_problem_23;None;0.2525248528;0.505027771;0.6930258274;0.6679911613
;visitall-assistance_problem_24;None;0.1531052589;0.4875338078;0.3985152245;0.3944237232
;visitall-assistance_problem_25;None;0.1041660309;0.3434576988;0.1788911819;0.1847243309
;visitall-assistance_problem_26;0.2076711655;0.271430254;0.6706199646;0.9138214588;0.8387889862
;visitall-assistance_problem_27;None;0.1135790348;0.3869171143;0.1920120716;0.1945524216
;visitall-assistance_problem_28;None;0.1355810165;0.4192180634;0.2117307186;0.2199742794
;visitall-assistance_problem_29;None;0.1534152031;0.447432518;0.2596683502;0.2583637238
;visitall-assistance_problem_2;None;0.1615862846;0.4441056252;0.4624354839;0.445836544
;visitall-assistance_problem_30;0.1190261841;0.1705636978;0.5008764267;0.5515584946;0.5775310993
;visitall-assistance_problem_31;None;0.1003148556;0.3378372192;0.1650300026;0.1779391766
;visitall-assistance_problem_32;None;0.6291069984;0.5813100338;0.7042527199;0.6755824089
;visitall-assistance_problem_33;None;0.1159636974;0.3796391487;0.186745882;0.1953794956
;visitall-assistance_problem_34;None;0.0991959572;0.3305728436;0.2642123699;0.2889814377
;visitall-assistance_problem_35;None;0.1208107471;0.3850579262;0.312861681;0.3265938759
;visitall-assistance_problem_36;None;0.0981278419;0.3385064602;0.2633771896;0.2895667553
;visitall-assistance_problem_37;0.0992662907;0.1250665188;0.4211719036;0.3335154057;0.349216938
;visitall-assistance_problem_38;0.1390790939;1.6578431129;0.6328082085;9.9790277481;6.7568688393
;visitall-assistance_problem_39;None;0.1022055149;0.351140976;0.1748485565;0.1756162643
;visitall-assistance_problem_3;None;0.1099014282;0.3864605427;0.184378624;0.1921195984
;visitall-assistance_problem_40;None;0.0982487202;0.3531446457;0.1749746799;0.1777675152
;visitall-assistance_problem_41;None;0.1601345539;0.4714188576;0.3941304684;0.3869719505
;visitall-assistance_problem_42;None;0.1030464172;0.3510906696;0.1735317707;0.1789143085
;visitall-assistance_problem_43;None;0.2673535347;0.6138572693;0.7017774582;0.6430876255
;visitall-assistance_problem_44;None;0.5912313461;0.8585243225;11.0272040367;11.2471837997
;visitall-assistance_problem_45;0.1720838547;0.2400882244;0.3876535892;0.41695261;0.396446228
;visitall-assistance_problem_46;0.0822176933;0.1341824532;0.2221970558;0.2137420177;0.2164251804
;visitall-assistance_problem_47;None;0.2117788792;0.5583429337;0.5265057087;0.4849169254
;visitall-assistance_problem_48;None;1.1545414925;0.57655406;1.8913271427;1.897639513
;visitall-assistance_problem_49;0.1513106823;0.2239766121;0.5651571751;0.9937708378;0.9754962921
;visitall-assistance_problem_4;None;0.2306063175;0.6106312275;0.4505007267;0.4149820805
;visitall-assistance_problem_5;None;0.2400941849;0.466177702;0.5036318302;0.4896469116
;visitall-assistance_problem_6;None;0.1017270088;0.3429982662;0.172298193;0.1819138527
;visitall-assistance_problem_7;0.1524348259;0.2773890495;0.6922039986;0.6591486931;0.5920920372
;visitall-assistance_problem_8;None;0.3949136734;0.6256041527;0.7671947479;0.7237260342
;visitall-assistance_problem_9;0.123929739;0.1643986702;0.485265255;0.6906425953;0.6888382435
