domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
visitall-assistance_domain;visitall-assistance_problem_0;13000;12001;12001;13000;13000
;visitall-assistance_problem_10;None;10001;10001;10001;10001
;visitall-assistance_problem_11;None;8001;8001;8001;8001
;visitall-assistance_problem_12;None;6002;6002;6002;6002
;visitall-assistance_problem_13;None;13002;13002;13002;13002
;visitall-assistance_problem_14;None;8002;8002;8002;8002
;visitall-assistance_problem_15;None;7001;7001;7001;7001
;visitall-assistance_problem_16;None;10001;10001;10001;10001
;visitall-assistance_problem_17;13000;12001;12001;12001;12001
;visitall-assistance_problem_18;None;6002;6002;6002;6002
;visitall-assistance_problem_19;None;10002;10002;10002;10002
;visitall-assistance_problem_1;None;14001;14001;14001;14001
;visitall-assistance_problem_20;None;13001;13001;13001;13001
;visitall-assistance_problem_21;None;12002;12002;12002;12002
;visitall-assistance_problem_22;None;4001;4001;4001;4001
;visitall-assistance_problem_23;None;11002;11002;11002;11002
;visitall-assistance_problem_24;None;10001;10001;10001;10001
;visitall-assistance_problem_25;None;5001;5001;5001;5001
;visitall-assistance_problem_26;15000;14001;14001;14001;14001
;visitall-assistance_problem_27;None;7001;7001;7001;7001
;visitall-assistance_problem_28;None;9001;9001;9001;9001
;visitall-assistance_problem_29;None;10001;10001;10001;10001
;visitall-assistance_problem_2;None;10002;10002;10002;10002
;visitall-assistance_problem_30;13000;11001;11001;12001;12001
;visitall-assistance_problem_31;None;4001;4001;4001;4001
;visitall-assistance_problem_32;None;14001;14001;14001;14001
;visitall-assistance_problem_33;None;7001;7001;7001;7001
;visitall-assistance_problem_34;None;4002;4002;4002;4002
;visitall-assistance_problem_35;None;7002;7002;7002;7002
;visitall-assistance_problem_36;None;4002;4002;4002;4002
;visitall-assistance_problem_37;10000;8001;8001;8001;8001
;visitall-assistance_problem_38;16000;12001;12001;14002;14002
;visitall-assistance_problem_39;None;5001;5001;5001;5001
;visitall-assistance_problem_3;None;7001;7001;7001;7001
;visitall-assistance_problem_40;None;5001;5001;5001;5001
;visitall-assistance_problem_41;None;10002;10002;10002;10002
;visitall-assistance_problem_42;None;5001;5001;5001;5001
;visitall-assistance_problem_43;None;12002;12002;12002;12002
;visitall-assistance_problem_44;None;13001;13001;13001;13001
;visitall-assistance_problem_45;14000;13001;13001;13001;13001
;visitall-assistance_problem_46;12000;9001;9001;9001;9001
;visitall-assistance_problem_47;None;12002;12002;12002;12002
;visitall-assistance_problem_48;None;12002;12002;12002;12002
;visitall-assistance_problem_49;13000;12001;12001;13000;13000
;visitall-assistance_problem_4;None;14001;14001;14001;14001
;visitall-assistance_problem_5;None;10002;10002;10002;10002
;visitall-assistance_problem_6;None;5001;5001;5001;5001
;visitall-assistance_problem_7;16000;14001;14001;15001;15001
;visitall-assistance_problem_8;None;12002;12002;12002;12002
;visitall-assistance_problem_9;11000;10001;10001;11000;11000
