domain;problem;LTRA;BOTAV2;BOTAV2-psi
visitall-assistance_domain;visitall-assistance_problem_0;2;1;1
;visitall-assistance_problem_10;1;1;1
;visitall-assistance_problem_11;1;1;1
;visitall-assistance_problem_12;2;2;2
;visitall-assistance_problem_13;2;2;2
;visitall-assistance_problem_14;2;2;2
;visitall-assistance_problem_15;1;1;1
;visitall-assistance_problem_16;1;1;1
;visitall-assistance_problem_17;2;2;2
;visitall-assistance_problem_18;2;2;2
;visitall-assistance_problem_19;2;2;2
;visitall-assistance_problem_1;1;1;1
;visitall-assistance_problem_20;1;1;1
;visitall-assistance_problem_21;2;2;2
;visitall-assistance_problem_22;1;1;1
;visitall-assistance_problem_23;2;2;2
;visitall-assistance_problem_24;1;1;1
;visitall-assistance_problem_25;1;1;1
;visitall-assistance_problem_26;2;2;2
;visitall-assistance_problem_27;1;1;1
;visitall-assistance_problem_28;1;1;1
;visitall-assistance_problem_29;1;1;1
;visitall-assistance_problem_2;2;2;2
;visitall-assistance_problem_30;2;2;2
;visitall-assistance_problem_31;1;1;1
;visitall-assistance_problem_32;1;1;1
;visitall-assistance_problem_33;1;1;1
;visitall-assistance_problem_34;2;2;2
;visitall-assistance_problem_35;2;2;2
;visitall-assistance_problem_36;2;2;2
;visitall-assistance_problem_37;2;2;2
;visitall-assistance_problem_38;2;3;3
;visitall-assistance_problem_39;1;1;1
;visitall-assistance_problem_3;1;1;1
;visitall-assistance_problem_40;1;1;1
;visitall-assistance_problem_41;2;2;2
;visitall-assistance_problem_42;1;1;1
;visitall-assistance_problem_43;2;2;2
;visitall-assistance_problem_44;1;1;1
;visitall-assistance_problem_45;2;2;2
;visitall-assistance_problem_46;2;2;2
;visitall-assistance_problem_47;2;2;2
;visitall-assistance_problem_48;2;2;2
;visitall-assistance_problem_49;2;1;1
;visitall-assistance_problem_4;1;1;1
;visitall-assistance_problem_5;2;2;2
;visitall-assistance_problem_6;1;1;1
;visitall-assistance_problem_7;2;2;2
;visitall-assistance_problem_8;2;2;2
;visitall-assistance_problem_9;2;1;1
