domain;problem;LTRA;BOTAV2;BOTAV2-psi
visitall-assistance_domain;visitall-assistance_problem_0;2;3;3
;visitall-assistance_problem_10;2;1;1
;visitall-assistance_problem_11;2;1;1
;visitall-assistance_problem_12;2;2;2
;visitall-assistance_problem_13;2;2;2
;visitall-assistance_problem_14;2;2;2
;visitall-assistance_problem_15;2;1;1
;visitall-assistance_problem_16;2;1;1
;visitall-assistance_problem_17;1;1;1
;visitall-assistance_problem_18;2;2;2
;visitall-assistance_problem_19;2;2;2
;visitall-assistance_problem_1;2;1;1
;visitall-assistance_problem_20;2;1;1
;visitall-assistance_problem_21;2;2;2
;visitall-assistance_problem_22;2;1;1
;visitall-assistance_problem_23;2;2;2
;visitall-assistance_problem_24;2;1;1
;visitall-assistance_problem_25;2;1;1
;visitall-assistance_problem_26;2;3;3
;visitall-assistance_problem_27;2;1;1
;visitall-assistance_problem_28;2;1;1
;visitall-assistance_problem_29;2;1;1
;visitall-assistance_problem_2;2;2;2
;visitall-assistance_problem_30;2;3;3
;visitall-assistance_problem_31;2;1;1
;visitall-assistance_problem_32;2;1;1
;visitall-assistance_problem_33;2;1;1
;visitall-assistance_problem_34;2;2;2
;visitall-assistance_problem_35;2;2;2
;visitall-assistance_problem_36;2;2;2
;visitall-assistance_problem_37;2;2;2
;visitall-assistance_problem_38;2;6;6
;visitall-assistance_problem_39;2;1;1
;visitall-assistance_problem_3;2;1;1
;visitall-assistance_problem_40;2;1;1
;visitall-assistance_problem_41;2;2;2
;visitall-assistance_problem_42;2;1;1
;visitall-assistance_problem_43;2;2;2
;visitall-assistance_problem_44;2;1;1
;visitall-assistance_problem_45;1;1;1
;visitall-assistance_problem_46;1;1;1
;visitall-assistance_problem_47;2;2;2
;visitall-assistance_problem_48;2;2;2
;visitall-assistance_problem_49;2;5;5
;visitall-assistance_problem_4;2;1;1
;visitall-assistance_problem_5;2;2;2
;visitall-assistance_problem_6;2;1;1
;visitall-assistance_problem_7;2;2;2
;visitall-assistance_problem_8;2;2;2
;visitall-assistance_problem_9;2;4;4
