domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
visitall-assistance_domain;visitall-assistance_problem_0;0.1716990471;0.189176321;0.2146482468;0.139333725;0.1365132332
;visitall-assistance_problem_10;None;0.1471636295;0.1144299507;0.1140277386;0.1147749424
;visitall-assistance_problem_11;None;0.12906003;0.0827407837;0.0859971046;0.0874767303
;visitall-assistance_problem_12;None;0.1131885052;0.1416532993;0.1440422535;0.1393091679
;visitall-assistance_problem_13;None;1.0699326992;0.1653087139;0.1655800343;0.1722774506
;visitall-assistance_problem_14;None;0.1627116203;0.1587584019;0.1627497673;0.1581122875
;visitall-assistance_problem_15;None;0.1176199913;0.0706512928;0.0749549866;0.0727291107
;visitall-assistance_problem_16;None;0.1485898495;0.098133564;0.097728014;0.0965104103
;visitall-assistance_problem_17;0.1495726109;0.2101223469;0.2182893753;0.2217850685;0.2246212959
;visitall-assistance_problem_18;None;0.1061713696;0.1371250153;0.1408007145;0.137326479
;visitall-assistance_problem_19;None;0.1705338955;0.137396574;0.1507074833;0.1492705345
;visitall-assistance_problem_1;None;0.2334311008;0.0717303753;0.0723092556;0.0749611855
;visitall-assistance_problem_20;None;0.2098360062;0.1428642273;0.1347944736;0.1364908218
;visitall-assistance_problem_21;None;0.3374557495;0.1491389275;0.1449790001;0.1485819817
;visitall-assistance_problem_22;None;0.0986590385;0.070628643;0.070589304;0.0718848705
;visitall-assistance_problem_23;None;0.2525248528;0.1646316051;0.1561565399;0.1566848755
;visitall-assistance_problem_24;None;0.1531052589;0.1401195526;0.1331448555;0.1335985661
;visitall-assistance_problem_25;None;0.1041660309;0.0673630238;0.0691206455;0.0704338551
;visitall-assistance_problem_26;0.2076711655;0.271430254;0.271933794;0.2761507034;0.2791018486
;visitall-assistance_problem_27;None;0.1135790348;0.0859408379;0.0853788853;0.0827481747
;visitall-assistance_problem_28;None;0.1355810165;0.0934979916;0.089174509;0.0864510536
;visitall-assistance_problem_29;None;0.1534152031;0.0935149193;0.0956451893;0.0954194069
;visitall-assistance_problem_2;None;0.1615862846;0.1387550831;0.1396989822;0.1391005516
;visitall-assistance_problem_30;0.1190261841;0.1705636978;0.1880972385;0.1901085377;0.1902937889
;visitall-assistance_problem_31;None;0.1003148556;0.0698223114;0.0714564323;0.0730626583
;visitall-assistance_problem_32;None;0.6291069984;0.0993981361;0.0924265385;0.0921018124
;visitall-assistance_problem_33;None;0.1159636974;0.0798852444;0.0802910328;0.077931881
;visitall-assistance_problem_34;None;0.0991959572;0.1358623505;0.1318285465;0.1333851814
;visitall-assistance_problem_35;None;0.1208107471;0.1497411728;0.1490430832;0.1464819908
;visitall-assistance_problem_36;None;0.0981278419;0.1383292675;0.1313359737;0.1336860657
;visitall-assistance_problem_37;0.0992662907;0.1250665188;0.1780061722;0.1729109287;0.17948699
;visitall-assistance_problem_38;0.1390790939;1.6578431129;0.2480669022;0.2903766632;0.2926111221
;visitall-assistance_problem_39;None;0.1022055149;0.0711185932;0.0722100735;0.0745942593
;visitall-assistance_problem_3;None;0.1099014282;0.0810887814;0.0823216438;0.0798943043
;visitall-assistance_problem_40;None;0.0982487202;0.0764217377;0.0727422237;0.0762097836
;visitall-assistance_problem_41;None;0.1601345539;0.1587822437;0.1583678722;0.1500892639
;visitall-assistance_problem_42;None;0.1030464172;0.0710508823;0.0716638565;0.0725193024
;visitall-assistance_problem_43;None;0.2673535347;0.1379518509;0.1433677673;0.1387243271
;visitall-assistance_problem_44;None;0.5912313461;0.2231059074;0.2234220505;0.2221667767
;visitall-assistance_problem_45;0.1720838547;0.2400882244;0.2470228672;0.2512383461;0.2536563873
;visitall-assistance_problem_46;0.0822176933;0.1341824532;0.1470434666;0.1470923424;0.1496598721
;visitall-assistance_problem_47;None;0.2117788792;0.1499507427;0.1511774063;0.1538963318
;visitall-assistance_problem_48;None;1.1545414925;0.2137217522;0.2122023106;0.2142624855
;visitall-assistance_problem_49;0.1513106823;0.2239766121;0.2413914204;0.1466345787;0.1458613873
;visitall-assistance_problem_4;None;0.2306063175;0.0841374397;0.0798251629;0.0798461437
;visitall-assistance_problem_5;None;0.2400941849;0.1539919376;0.1592905521;0.1548466682
;visitall-assistance_problem_6;None;0.1017270088;0.0769710541;0.0765316486;0.0764293671
;visitall-assistance_problem_7;0.1524348259;0.2773890495;0.2683908939;0.2585902214;0.2535088062
;visitall-assistance_problem_8;None;0.3949136734;0.1593170166;0.1595478058;0.1606240273
;visitall-assistance_problem_9;0.123929739;0.1643986702;0.1919765472;0.1194617748;0.1191420555
