domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
visitall-assistance_domain;visitall-assistance_problem_0;0;1;1;0;0
;visitall-assistance_problem_10;0;1;1;1;1
;visitall-assistance_problem_11;0;1;1;1;1
;visitall-assistance_problem_12;0;2;2;2;2
;visitall-assistance_problem_13;0;2;2;2;2
;visitall-assistance_problem_14;0;2;2;2;2
;visitall-assistance_problem_15;0;1;1;1;1
;visitall-assistance_problem_16;0;1;1;1;1
;visitall-assistance_problem_17;0;1;1;1;1
;visitall-assistance_problem_18;0;2;2;2;2
;visitall-assistance_problem_19;0;2;2;2;2
;visitall-assistance_problem_1;0;1;1;1;1
;visitall-assistance_problem_20;0;1;1;1;1
;visitall-assistance_problem_21;0;2;2;2;2
;visitall-assistance_problem_22;0;1;1;1;1
;visitall-assistance_problem_23;0;2;2;2;2
;visitall-assistance_problem_24;0;1;1;1;1
;visitall-assistance_problem_25;0;1;1;1;1
;visitall-assistance_problem_26;0;1;1;1;1
;visitall-assistance_problem_27;0;1;1;1;1
;visitall-assistance_problem_28;0;1;1;1;1
;visitall-assistance_problem_29;0;1;1;1;1
;visitall-assistance_problem_2;0;2;2;2;2
;visitall-assistance_problem_30;0;1;1;1;1
;visitall-assistance_problem_31;0;1;1;1;1
;visitall-assistance_problem_32;0;1;1;1;1
;visitall-assistance_problem_33;0;1;1;1;1
;visitall-assistance_problem_34;0;2;2;2;2
;visitall-assistance_problem_35;0;2;2;2;2
;visitall-assistance_problem_36;0;2;2;2;2
;visitall-assistance_problem_37;0;1;1;1;1
;visitall-assistance_problem_38;0;1;1;2;2
;visitall-assistance_problem_39;0;1;1;1;1
;visitall-assistance_problem_3;0;1;1;1;1
;visitall-assistance_problem_40;0;1;1;1;1
;visitall-assistance_problem_41;0;2;2;2;2
;visitall-assistance_problem_42;0;1;1;1;1
;visitall-assistance_problem_43;0;2;2;2;2
;visitall-assistance_problem_44;0;1;1;1;1
;visitall-assistance_problem_45;0;1;1;1;1
;visitall-assistance_problem_46;0;1;1;1;1
;visitall-assistance_problem_47;0;2;2;2;2
;visitall-assistance_problem_48;0;2;2;2;2
;visitall-assistance_problem_49;0;1;1;0;0
;visitall-assistance_problem_4;0;1;1;1;1
;visitall-assistance_problem_5;0;2;2;2;2
;visitall-assistance_problem_6;0;1;1;1;1
;visitall-assistance_problem_7;0;1;1;1;1
;visitall-assistance_problem_8;0;2;2;2;2
;visitall-assistance_problem_9;0;1;1;0;0
