domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance7_domain;teleport-assistance7_problem_0;0.12345123291015625;0.11209583282470703;None;None;None
;teleport-assistance7_problem_100;0.07806181907653809;0.09726619720458984;None;0.07885575294494629;None
;teleport-assistance7_problem_101;0.09790420532226562;0.12574386596679688;None;None;None
;teleport-assistance7_problem_102;0.09584259986877441;0.12323951721191406;None;0.16480183601379395;None
;teleport-assistance7_problem_103;0.0848379135131836;0.18400359153747559;None;None;None
;teleport-assistance7_problem_104;0.11232161521911621;0.10809850692749023;None;0.06859207153320312;0.07805919647216797
;teleport-assistance7_problem_105;0.07799839973449707;0.12284135818481445;None;None;None
;teleport-assistance7_problem_106;0.09545087814331055;0.1360912322998047;None;None;None
;teleport-assistance7_problem_107;0.10186505317687988;0.12146449089050293;None;None;None
;teleport-assistance7_problem_108;0.08466386795043945;0.12705683708190918;None;None;None
;teleport-assistance7_problem_109;0.10524845123291016;0.16997241973876953;0.1266634464263916;0.08626556396484375;None
;teleport-assistance7_problem_10;0.10408782958984375;0.1714789867401123;None;None;None
;teleport-assistance7_problem_110;0.08681011199951172;0.13922905921936035;None;None;None
;teleport-assistance7_problem_111;0.09306097030639648;0.11966753005981445;None;None;None
;teleport-assistance7_problem_112;0.08765816688537598;0.14293336868286133;None;None;None
;teleport-assistance7_problem_113;0.08629679679870605;0.12546920776367188;None;None;None
;teleport-assistance7_problem_114;0.09309148788452148;0.14572596549987793;None;None;None
;teleport-assistance7_problem_115;0.08479619026184082;0.13234329223632812;None;None;None
;teleport-assistance7_problem_116;0.07654857635498047;0.11109638214111328;None;0.07143926620483398;None
;teleport-assistance7_problem_117;0.08952879905700684;0.11491274833679199;0.08583950996398926;0.07850217819213867;0.07781291007995605
;teleport-assistance7_problem_118;0.08713626861572266;0.13399720191955566;None;None;None
;teleport-assistance7_problem_119;0.0832374095916748;0.11560773849487305;0.08327889442443848;0.08188486099243164;0.0880272388458252
;teleport-assistance7_problem_11;0.08598637580871582;0.11925649642944336;None;None;None
;teleport-assistance7_problem_120;0.09196639060974121;0.12102341651916504;None;None;None
;teleport-assistance7_problem_121;0.09234356880187988;0.11102604866027832;None;None;None
;teleport-assistance7_problem_122;0.08542251586914062;0.12569665908813477;None;None;None
;teleport-assistance7_problem_123;0.08394742012023926;0.1273336410522461;None;0.08125567436218262;None
;teleport-assistance7_problem_124;0.14986038208007812;0.22962188720703125;None;None;None
;teleport-assistance7_problem_125;0.12134933471679688;0.17158150672912598;None;None;None
;teleport-assistance7_problem_126;0.12108874320983887;0.18075156211853027;None;None;None
;teleport-assistance7_problem_127;0.1250598430633545;0.19082975387573242;None;None;None
;teleport-assistance7_problem_128;0.08838725090026855;0.15384912490844727;None;None;None
;teleport-assistance7_problem_129;0.08804631233215332;0.1483297348022461;None;None;None
;teleport-assistance7_problem_12;0.07871866226196289;0.11098861694335938;0.0747835636138916;0.0716092586517334;0.07356691360473633
;teleport-assistance7_problem_130;0.07885599136352539;0.1233069896697998;None;None;None
;teleport-assistance7_problem_131;0.08316469192504883;0.11895942687988281;None;None;None
;teleport-assistance7_problem_132;0.08951282501220703;0.11332249641418457;None;0.07252073287963867;None
;teleport-assistance7_problem_133;0.0736074447631836;0.11223697662353516;0.07721948623657227;0.0767970085144043;0.06898260116577148
;teleport-assistance7_problem_134;0.08928084373474121;0.13288617134094238;None;None;None
;teleport-assistance7_problem_135;0.08806586265563965;0.12050223350524902;None;None;None
;teleport-assistance7_problem_136;0.08002114295959473;0.11603879928588867;None;None;None
;teleport-assistance7_problem_137;0.08420825004577637;0.14146208763122559;None;None;None
;teleport-assistance7_problem_138;0.1060025691986084;0.15940618515014648;None;None;None
;teleport-assistance7_problem_139;0.08320021629333496;0.10983133316040039;None;0.06970453262329102;None
;teleport-assistance7_problem_13;0.09206795692443848;0.11819291114807129;None;None;None
;teleport-assistance7_problem_140;0.08768248558044434;0.11823534965515137;None;None;None
;teleport-assistance7_problem_141;0.08437657356262207;0.11867499351501465;None;None;None
;teleport-assistance7_problem_142;0.12117743492126465;0.16751694679260254;0.136749267578125;0.11338615417480469;0.11014103889465332
;teleport-assistance7_problem_143;0.11451578140258789;0.16190719604492188;None;0.11034917831420898;None
;teleport-assistance7_problem_144;0.12254619598388672;0.18689560890197754;None;None;None
;teleport-assistance7_problem_145;0.12775969505310059;0.20041966438293457;None;None;None
;teleport-assistance7_problem_146;0.11346769332885742;0.16335344314575195;None;None;None
;teleport-assistance7_problem_147;0.11455345153808594;0.19150924682617188;0.09508919715881348;0.09714508056640625;0.09247517585754395
;teleport-assistance7_problem_148;0.09148526191711426;0.1481647491455078;None;None;None
;teleport-assistance7_problem_149;0.09942007064819336;0.15769290924072266;None;None;None
;teleport-assistance7_problem_14;0.10114884376525879;0.1402759552001953;None;None;None
;teleport-assistance7_problem_150;0.09140706062316895;0.15107178688049316;None;None;None
;teleport-assistance7_problem_151;0.11290168762207031;0.13816165924072266;0.09009313583374023;0.13701462745666504;0.10417938232421875
;teleport-assistance7_problem_152;0.15368866920471191;0.19959139823913574;None;None;None
;teleport-assistance7_problem_153;0.10249710083007812;0.1718432903289795;None;None;None
;teleport-assistance7_problem_154;0.09308075904846191;0.15357255935668945;0.08920407295227051;0.09157228469848633;0.08841586112976074
;teleport-assistance7_problem_155;0.09450697898864746;0.15857529640197754;None;None;None
;teleport-assistance7_problem_156;0.10327887535095215;0.13885021209716797;None;None;None
;teleport-assistance7_problem_157;0.13272714614868164;0.1742253303527832;None;0.08522510528564453;None
;teleport-assistance7_problem_158;0.09113717079162598;0.10797476768493652;None;None;None
;teleport-assistance7_problem_159;0.08564376831054688;0.11290645599365234;None;None;None
;teleport-assistance7_problem_15;0.1309196949005127;0.17410612106323242;None;None;None
;teleport-assistance7_problem_160;0.12481045722961426;0.22196745872497559;None;None;None
;teleport-assistance7_problem_161;0.13736486434936523;0.17931056022644043;None;None;None
;teleport-assistance7_problem_162;0.13238310813903809;0.22195959091186523;None;None;None
;teleport-assistance7_problem_163;0.13064169883728027;0.18031811714172363;None;None;None
;teleport-assistance7_problem_164;0.13562393188476562;0.22095346450805664;None;None;None
;teleport-assistance7_problem_165;0.13100743293762207;0.17028498649597168;None;0.1688375473022461;0.11475896835327148
;teleport-assistance7_problem_166;0.13119196891784668;0.19183731079101562;None;None;None
;teleport-assistance7_problem_167;0.0740203857421875;0.11878681182861328;None;None;None
;teleport-assistance7_problem_168;0.09817194938659668;0.12816429138183594;None;0.08228278160095215;0.08487725257873535
;teleport-assistance7_problem_169;0.08931541442871094;0.12314271926879883;None;None;None
;teleport-assistance7_problem_16;0.09616899490356445;0.15560293197631836;None;None;None
;teleport-assistance7_problem_170;0.10405945777893066;0.1430511474609375;None;None;None
;teleport-assistance7_problem_171;0.11336278915405273;0.14787888526916504;None;None;None
;teleport-assistance7_problem_172;0.09516072273254395;0.13210082054138184;None;0.08041667938232422;None
;teleport-assistance7_problem_173;0.08560729026794434;0.1242678165435791;None;None;None
;teleport-assistance7_problem_174;0.0871727466583252;0.11701846122741699;None;None;None
