domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance7_domain;teleport-assistance7_problem_0;11000.0;1000.0;None;None;None
;teleport-assistance7_problem_100;3000.0;0.0;None;0;None
;teleport-assistance7_problem_101;10000.0;5000.0;None;None;None
;teleport-assistance7_problem_102;6000.0;4000.0;None;4000.0;None
;teleport-assistance7_problem_103;6000.0;3000.0;None;None;None
;teleport-assistance7_problem_104;8000.0;0.0;None;0;0
;teleport-assistance7_problem_105;6000.0;1000.0;None;None;None
;teleport-assistance7_problem_106;10000.0;3000.0;None;None;None
;teleport-assistance7_problem_107;9000.0;5000.0;None;None;None
;teleport-assistance7_problem_108;9000.0;1000.0;None;None;None
;teleport-assistance7_problem_109;6000.0;0.0;6000.0;0;None
;teleport-assistance7_problem_10;4000.0;1000.0;None;None;None
;teleport-assistance7_problem_110;7000.0;1000.0;None;None;None
;teleport-assistance7_problem_111;5000.0;2000.0;None;None;None
;teleport-assistance7_problem_112;4000.0;2000.0;None;None;None
;teleport-assistance7_problem_113;3000.0;1000.0;None;None;None
;teleport-assistance7_problem_114;14000.0;4000.0;None;None;None
;teleport-assistance7_problem_115;3000.0;1000.0;None;None;None
;teleport-assistance7_problem_116;3000.0;0.0;None;0;None
;teleport-assistance7_problem_117;3000.0;0.0;3000.0;0;0
;teleport-assistance7_problem_118;6000.0;1000.0;None;None;None
;teleport-assistance7_problem_119;8000.0;0.0;8000.0;0;0
;teleport-assistance7_problem_11;9000.0;2000.0;None;None;None
;teleport-assistance7_problem_120;8000.0;1000.0;None;None;None
;teleport-assistance7_problem_121;3000.0;1000.0;None;None;None
;teleport-assistance7_problem_122;4000.0;1000.0;None;None;None
;teleport-assistance7_problem_123;4000.0;0.0;None;0;None
;teleport-assistance7_problem_124;10000.0;4000.0;None;None;None
;teleport-assistance7_problem_125;3000.0;1000.0;None;None;None
;teleport-assistance7_problem_126;7000.0;5000.0;None;None;None
;teleport-assistance7_problem_127;5000.0;2000.0;None;None;None
;teleport-assistance7_problem_128;5000.0;1000.0;None;None;None
;teleport-assistance7_problem_129;7000.0;3000.0;None;None;None
;teleport-assistance7_problem_12;5000.0;0.0;5000.0;0;0
;teleport-assistance7_problem_130;7000.0;1000.0;None;None;None
;teleport-assistance7_problem_131;8000.0;5000.0;None;None;None
;teleport-assistance7_problem_132;6000.0;0.0;None;0;None
;teleport-assistance7_problem_133;2000.0;0.0;2000.0;0;2000.0
;teleport-assistance7_problem_134;4000.0;1000.0;None;None;None
;teleport-assistance7_problem_135;5000.0;2000.0;None;None;None
;teleport-assistance7_problem_136;6000.0;1000.0;None;None;None
;teleport-assistance7_problem_137;6000.0;3000.0;None;None;None
;teleport-assistance7_problem_138;4000.0;2000.0;None;None;None
;teleport-assistance7_problem_139;2000.0;0.0;None;0;None
;teleport-assistance7_problem_13;6000.0;1000.0;None;None;None
;teleport-assistance7_problem_140;7000.0;2000.0;None;None;None
;teleport-assistance7_problem_141;4000.0;2000.0;None;None;None
;teleport-assistance7_problem_142;6000.0;0.0;6000.0;0;0
;teleport-assistance7_problem_143;5000.0;0.0;None;0;None
;teleport-assistance7_problem_144;8000.0;5000.0;None;None;None
;teleport-assistance7_problem_145;4000.0;1000.0;None;None;None
;teleport-assistance7_problem_146;3000.0;1000.0;None;None;None
;teleport-assistance7_problem_147;4000.0;0.0;4000.0;0;0
;teleport-assistance7_problem_148;5000.0;2000.0;None;None;None
;teleport-assistance7_problem_149;11000.0;4000.0;None;None;None
;teleport-assistance7_problem_14;8000.0;3000.0;None;None;None
;teleport-assistance7_problem_150;8000.0;1000.0;None;None;None
;teleport-assistance7_problem_151;5000.0;0.0;5000.0;0;0
;teleport-assistance7_problem_152;7000.0;2000.0;None;None;None
;teleport-assistance7_problem_153;4000.0;2000.0;None;None;None
;teleport-assistance7_problem_154;3000.0;0.0;3000.0;0;0
;teleport-assistance7_problem_155;4000.0;2000.0;None;None;None
;teleport-assistance7_problem_156;7000.0;1000.0;None;None;None
;teleport-assistance7_problem_157;6000.0;0.0;None;0;None
;teleport-assistance7_problem_158;6000.0;1000.0;None;None;None
;teleport-assistance7_problem_159;7000.0;2000.0;None;None;None
;teleport-assistance7_problem_15;4000.0;1000.0;None;None;None
;teleport-assistance7_problem_160;3000.0;1000.0;None;None;None
;teleport-assistance7_problem_161;15000.0;3000.0;None;None;None
;teleport-assistance7_problem_162;10000.0;3000.0;None;None;None
;teleport-assistance7_problem_163;15000.0;4000.0;None;None;None
;teleport-assistance7_problem_164;4000.0;2000.0;None;None;None
;teleport-assistance7_problem_165;7000.0;0.0;None;0;0
;teleport-assistance7_problem_166;11000.0;3000.0;None;None;None
;teleport-assistance7_problem_167;4000.0;2000.0;None;None;None
;teleport-assistance7_problem_168;11000.0;0.0;None;0;0
;teleport-assistance7_problem_169;8000.0;1000.0;None;None;None
;teleport-assistance7_problem_16;7000.0;2000.0;None;None;None
;teleport-assistance7_problem_170;9000.0;2000.0;None;None;None
;teleport-assistance7_problem_171;13000.0;3000.0;None;None;None
;teleport-assistance7_problem_172;12000.0;0.0;None;0;None
;teleport-assistance7_problem_173;7000.0;3000.0;None;None;None
;teleport-assistance7_problem_174;3000.0;1000.0;None;None;None
