domain;problem;LTRA;BOTAV2;BOTAV2-psi
;teleport-assistance7_problem_55;None;None;None
;teleport-assistance7_problem_56;None;None;None
;teleport-assistance7_problem_57;None;None;None
;teleport-assistance7_problem_58;None;None;None
;teleport-assistance7_problem_59;1;1;1
;teleport-assistance7_problem_5;None;1;None
;teleport-assistance7_problem_60;None;None;None
;teleport-assistance7_problem_61;None;None;None
;teleport-assistance7_problem_62;None;None;None
;teleport-assistance7_problem_63;None;None;None
;teleport-assistance7_problem_64;None;None;None
;teleport-assistance7_problem_65;None;None;None
;teleport-assistance7_problem_66;None;None;None
;teleport-assistance7_problem_67;None;None;None
;teleport-assistance7_problem_68;None;None;None
;teleport-assistance7_problem_69;None;None;None
;teleport-assistance7_problem_6;None;None;None
;teleport-assistance7_problem_70;1;1;1
;teleport-assistance7_problem_71;None;None;None
;teleport-assistance7_problem_72;None;None;None
;teleport-assistance7_problem_73;None;1;None
;teleport-assistance7_problem_74;None;None;None
;teleport-assistance7_problem_75;None;None;None
;teleport-assistance7_problem_76;None;1;1
;teleport-assistance7_problem_77;1;1;1
;teleport-assistance7_problem_78;None;None;None
;teleport-assistance7_problem_79;None;None;None
;teleport-assistance7_problem_7;None;None;None
;teleport-assistance7_problem_80;None;None;None
;teleport-assistance7_problem_81;None;None;None
;teleport-assistance7_problem_82;None;None;None
;teleport-assistance7_problem_83;None;None;None
;teleport-assistance7_problem_84;None;None;None
;teleport-assistance7_problem_85;None;None;None
;teleport-assistance7_problem_86;None;None;None
;teleport-assistance7_problem_87;None;None;None
;teleport-assistance7_problem_88;None;None;None
;teleport-assistance7_problem_89;None;None;None
;teleport-assistance7_problem_8;None;None;None
;teleport-assistance7_problem_90;None;1;1
;teleport-assistance7_problem_91;None;None;None
;teleport-assistance7_problem_92;None;None;None
;teleport-assistance7_problem_93;None;None;None
;teleport-assistance7_problem_94;None;1;1
;teleport-assistance7_problem_95;None;None;None
;teleport-assistance7_problem_96;None;None;None
;teleport-assistance7_problem_97;None;1;1
;teleport-assistance7_problem_98;None;None;None
;teleport-assistance7_problem_99;None;None;None
;teleport-assistance7_problem_9;None;None;None
