domain;problem;cost_without_assistance;minimum_cost_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
teleport-assistance7_domain;teleport-assistance7_problem_0;0;2.0;None;None;None
;teleport-assistance7_problem_100;0;2.0;None;2.0;None
;teleport-assistance7_problem_101;0;2.0;None;None;None
;teleport-assistance7_problem_102;0;2.0;None;2.0;None
;teleport-assistance7_problem_103;0;2.0;None;None;None
;teleport-assistance7_problem_104;0;2.0;None;2.0;2.0
;teleport-assistance7_problem_105;0;2.0;None;None;None
;teleport-assistance7_problem_106;0;2.0;None;None;None
;teleport-assistance7_problem_107;0;2.0;None;None;None
;teleport-assistance7_problem_108;0;2.0;None;None;None
;teleport-assistance7_problem_109;0;2.0;0;2.0;None
;teleport-assistance7_problem_10;0;2.0;None;None;None
;teleport-assistance7_problem_110;0;2.0;None;None;None
;teleport-assistance7_problem_111;0;2.0;None;None;None
;teleport-assistance7_problem_112;0;2.0;None;None;None
;teleport-assistance7_problem_113;0;2.0;None;None;None
;teleport-assistance7_problem_114;0;2.0;None;None;None
;teleport-assistance7_problem_115;0;2.0;None;None;None
;teleport-assistance7_problem_116;0;2.0;None;2.0;None
;teleport-assistance7_problem_117;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_118;0;2.0;None;None;None
;teleport-assistance7_problem_119;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_11;0;2.0;None;None;None
;teleport-assistance7_problem_120;0;2.0;None;None;None
;teleport-assistance7_problem_121;0;2.0;None;None;None
;teleport-assistance7_problem_122;0;2.0;None;None;None
;teleport-assistance7_problem_123;0;2.0;None;2.0;None
;teleport-assistance7_problem_124;0;2.0;None;None;None
;teleport-assistance7_problem_125;0;2.0;None;None;None
;teleport-assistance7_problem_126;0;2.0;None;None;None
;teleport-assistance7_problem_127;0;2.0;None;None;None
;teleport-assistance7_problem_128;0;2.0;None;None;None
;teleport-assistance7_problem_129;0;2.0;None;None;None
;teleport-assistance7_problem_12;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_130;0;2.0;None;None;None
;teleport-assistance7_problem_131;0;2.0;None;None;None
;teleport-assistance7_problem_132;0;2.0;None;2.0;None
;teleport-assistance7_problem_133;0;2.0;0;2.0;0
;teleport-assistance7_problem_134;0;2.0;None;None;None
;teleport-assistance7_problem_135;0;2.0;None;None;None
;teleport-assistance7_problem_136;0;2.0;None;None;None
;teleport-assistance7_problem_137;0;2.0;None;None;None
;teleport-assistance7_problem_138;0;2.0;None;None;None
;teleport-assistance7_problem_139;0;2.0;None;2.0;None
;teleport-assistance7_problem_13;0;2.0;None;None;None
;teleport-assistance7_problem_140;0;2.0;None;None;None
;teleport-assistance7_problem_141;0;2.0;None;None;None
;teleport-assistance7_problem_142;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_143;0;2.0;None;2.0;None
;teleport-assistance7_problem_144;0;2.0;None;None;None
;teleport-assistance7_problem_145;0;2.0;None;None;None
;teleport-assistance7_problem_146;0;2.0;None;None;None
;teleport-assistance7_problem_147;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_148;0;2.0;None;None;None
;teleport-assistance7_problem_149;0;2.0;None;None;None
;teleport-assistance7_problem_14;0;2.0;None;None;None
;teleport-assistance7_problem_150;0;2.0;None;None;None
;teleport-assistance7_problem_151;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_152;0;2.0;None;None;None
;teleport-assistance7_problem_153;0;2.0;None;None;None
;teleport-assistance7_problem_154;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_155;0;2.0;None;None;None
;teleport-assistance7_problem_156;0;2.0;None;None;None
;teleport-assistance7_problem_157;0;2.0;None;2.0;None
;teleport-assistance7_problem_158;0;2.0;None;None;None
;teleport-assistance7_problem_159;0;2.0;None;None;None
;teleport-assistance7_problem_15;0;2.0;None;None;None
;teleport-assistance7_problem_160;0;2.0;None;None;None
;teleport-assistance7_problem_161;0;2.0;None;None;None
;teleport-assistance7_problem_162;0;2.0;None;None;None
;teleport-assistance7_problem_163;0;2.0;None;None;None
;teleport-assistance7_problem_164;0;2.0;None;None;None
;teleport-assistance7_problem_165;0;2.0;None;2.0;2.0
;teleport-assistance7_problem_166;0;2.0;None;None;None
;teleport-assistance7_problem_167;0;2.0;None;None;None
;teleport-assistance7_problem_168;0;2.0;None;2.0;2.0
;teleport-assistance7_problem_169;0;2.0;None;None;None
;teleport-assistance7_problem_16;0;2.0;None;None;None
;teleport-assistance7_problem_170;0;2.0;None;None;None
;teleport-assistance7_problem_171;0;2.0;None;None;None
;teleport-assistance7_problem_172;0;2.0;None;2.0;None
;teleport-assistance7_problem_173;0;2.0;None;None;None
;teleport-assistance7_problem_174;0;2.0;None;None;None
;teleport-assistance7_problem_175;0;2.0;None;None;None
;teleport-assistance7_problem_176;0;2.0;None;None;None
;teleport-assistance7_problem_177;0;2.0;None;None;None
;teleport-assistance7_problem_178;0;2.0;None;None;None
;teleport-assistance7_problem_179;0;2.0;None;None;None
;teleport-assistance7_problem_17;0;2.0;None;None;None
;teleport-assistance7_problem_180;0;2.0;None;None;None
;teleport-assistance7_problem_181;0;2.0;None;None;None
;teleport-assistance7_problem_182;0;2.0;0;2.0;0
;teleport-assistance7_problem_183;0;2.0;None;None;None
;teleport-assistance7_problem_184;0;2.0;None;None;None
;teleport-assistance7_problem_185;0;2.0;None;2.0;2.0
;teleport-assistance7_problem_186;0;2.0;None;None;None
;teleport-assistance7_problem_187;0;2.0;0;2.0;2.0
;teleport-assistance7_problem_188;0;2.0;None;None;None
;teleport-assistance7_problem_189;0;2.0;None;None;None
;teleport-assistance7_problem_18;0;2.0;None;None;None
;teleport-assistance7_problem_190;0;2.0;None;None;None
;teleport-assistance7_problem_191;0;2.0;None;None;None
;teleport-assistance7_problem_192;0;2.0;None;None;None
;teleport-assistance7_problem_193;0;2.0;None;None;None
